"Level","Institution","Program_Title","Field","Cost","Language","Link"
"Short course","Martin Luther University Halle-Wittenberg","14th Current Literature – Here's What Germany Reads","German Language and Literature (German, Germanic Languages except English)","EUR 770","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5402/"
"Language course","Martin Luther University Halle-Wittenberg","29th International Summer Academy","German Language Course (including Literature and Culture Studies)","EUR 770","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4920/"
"Language course","Osnabrück University of Applied Sciences","33rd International Summer Language School","German Language Course (including Literature and Culture Studies)","EUR 890","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9019/"
"Short course and language course","Trier University","52nd Trier International Summer School: Germany and its Neighbouring Countries 2025","German Language Course (including Literature and Culture Studies)","EUR 770","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8289/"
"Language course","Martin Luther University Halle-Wittenberg","7th International Winter Academy","German Language Course (including Literature and Culture Studies)","EUR 770","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6324/"
"Short course","SRH University","7th Solar Winter School (hybrid)","Engineering in general","EUR 950","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5573/"
"PhD / Doctorate","University of Cologne","a.r.t.e.s. Graduate School for the Humanities Cologne","Languages and Cultural Studies in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4100/"
"PhD / Doctorate","Friedrich Schiller University Jena","Abbe School of Photonics – PhD/Doctoral Programme","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4341/"
"Preparatory course","Internationale Hochschule SDI München/International University SDI München","Academic German Preparation Course Munich: Intensive Courses at the International University Munich",NA,NA,NA,"https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5160/"
"Language course","University of Passau","Academic German Year 2025/2026","German Language Course (including Literature and Culture Studies)","EUR 3,990","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9744/"
"Language course","Leipzig University","Academic Life in Leipzig – Autumn Language Course for International Researchers, Doctoral Candidates, and Students","German Language Course (including Literature and Culture Studies)","EUR 1,025","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4960/"
"Short course and language course","Freie Universität Berlin","Academic Writing in German","German as an Academic Language","EUR 725","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8921/"
"Short course and language course","Johannes Gutenberg University Mainz","Accessible Communication","Translation and Interpretation","EUR 200","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5498/"
"Preparatory course","Heilbronn University of Applied Sciences","ACCESS² Preparation Year",NA,NA,NA,"https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6214/"
"Master's degree","RPTU University of Kaiserslautern-Landau","Actuarial and Financial Mathematics","Mathematics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4722/"
"Short course","Julius-Maximilians-Universität Würzburg","Adult Education Academy: International & Comparative Studies in Adult Education & Lifelong Learning","Education","EUR 163","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9575/"
"Master's degree","Julius-Maximilians-Universität Würzburg","Adult Education and Management in Lifelong Education","Education",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9145/"
"Master's degree","Chemnitz University of Technology","Advanced and Computational Mathematics – International Master's Programme","Mathematics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4770/"
"Master's degree","RWTH Aachen University","Advanced Computational Methods in Civil Engineering","Civil Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6318/"
"Master's degree","Chemnitz University of Technology","Advanced Functional Materials","Chemistry",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4695/"
"Master's degree","Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau","Advanced Green Engineering and Sustainable Management","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8903/"
"Master's degree","Rosenheim Technical University of Applied Sciences","Advanced Industrial Engineering","Industrial Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8579/"
"Language course","Osnabrück University","Advanced Intensive German (AIG)","German Language Course (including Literature and Culture Studies)","EUR 2,250","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8555/"
"Master's degree","Chemnitz University of Technology","Advanced Manufacturing","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7612/"
"Master's degree","Justus Liebig University Giessen","Advanced Materials","Chemistry",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9989/"
"Master's degree","TU Bergakademie Freiberg","Advanced Materials Analysis","Mining, Metallurgy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5403/"
"Master's degree","University of Tübingen","Advanced Quantum Physics (MSc)","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7211/"
"Master's degree","Leipzig University","Advanced Spectroscopy in Chemistry (ASC)","Chemistry",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7056/"
"Bachelor's degree","SRH University","Advertising & Brand Design (BA)","Design",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6217/"
"Master's degree","University of Hohenheim","Advisory and Innovation Services in Agri-Food Systems","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8972/"
"Master's degree","Technical University of Munich","Aerospace (MSc)","Engineering in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6141/"
"Master's degree","Universität Hamburg","African Languages and Cultures","Other / Non-European Languages and Cultural Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8933/"
"Master's degree","University of Bayreuth","African Verbal and Visual Arts: Languages, Literatures, Media and Art","Other / Non-European Languages and Cultural Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4044/"
"Bachelor's degree","University of Bayreuth","African Verbal and Visual Arts: Languages, Literatures, Media and Art (BA)","Languages and Cultural Studies in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5443/"
"Bachelor's degree","Rhine-Waal University of Applied Sciences","Agribusiness BA","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4229/"
"Master's degree","University of Bonn","Agricultural and Food Economics (AFECO)","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7602/"
"Master's degree","Technical University of Munich","Agricultural Biosciences","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6527/"
"Master's degree","University of Hohenheim","Agricultural Economics (AgEcon)","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3723/"
"Master's degree","University of Bonn","Agricultural Sciences and Resource Management in the Tropics and Subtropics (ARTS)","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7600/"
"Master's degree","University of Hohenheim","Agricultural Sciences in the Tropics and Subtropics (AgriTropics)","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3788/"
"Master's degree","University of Bonn","Agricultural, Food and Environmental Policy Analysis (AFEPA)","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8310/"
"Master's degree","University of Kassel","Agriculture, Ecology & Societies (AGES)","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8543/"
"Master's degree","Technical University of Munich","AgriFood Economics, Policy and Regulation","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9177/"
"Master's degree","Justus Liebig University Giessen","Agrobioinformatics","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9988/"
"Master's degree","Justus Liebig University Giessen","Agrobiotechnology","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7709/"
"Master's degree","University of Technology Nuremberg","AI & Robotics (MSc)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9894/"
"Master's degree","Furtwangen University","AI Artificial Intelligence and Data Science for Digital Business Management – Freiburg Campus","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9890/"
"Master's degree","Technische Hochschule Ingolstadt","AI Engineering of Autonomous Systems","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8922/"
"Master's degree","Technical University of Munich","AI in Society","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9617/"
"Master's degree","Hof University of Applied Sciences","AI-Driven Supply Chain Management (MSc)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9941/"
"Master's degree","University of Stuttgart","Air Quality Control, Solid Waste and Waste Water Process Engineering (WASTE)","Mechanical Engineering / Process Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3676/"
"Master's degree","Dresden University of Technology","Air Transport and Logistics","Transport Engineering, Nautical Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8911/"
"PhD / Doctorate","Universität Hamburg","Albrecht Mendelssohn Bartholdy Graduate School of Law","Law",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4764/"
"Master's degree","Saarland University","AMASE: Joint European Master's Programme in Advanced Materials Science and Engineering","Engineering in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6080/"
"Master's degree","Leipzig University","American Studies","English Studies, American Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9616/"
"Master's degree","University of Tübingen","American Studies (MA)","English Studies, American Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5332/"
"Master's degree","Coburg University of Applied Sciences and Arts","Analytical Instruments, Measurement and Sensor Technology (AIMS)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3949/"
"Master's degree","University of Potsdam","Anglophone Modernities in Literature and Culture","Languages and Cultural Studies in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4325/"
"Master's degree","University of Hohenheim","Animal Science","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8973/"
"Master's degree","University of Konstanz","Anthropology and Sociology (Master of Arts)","Social Science",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4778/"
"Master's degree","University of Bonn","Anthropology of the Americas","Other / Non-European Languages and Cultural Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6223/"
"Master's degree","University of Tübingen","Applied & Environmental Geoscience (AEG)","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3791/"
"Master's degree","Deggendorf Institute of Technology","Applied AI for Digital Production Management, MEng","Industrial Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9024/"
"Bachelor's degree","Rosenheim Technical University of Applied Sciences","Applied Artificial Intelligence (AAI)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7666/"
"Bachelor's degree","Hochschule Bonn-Rhein-Sieg","Applied Biology (BSc)","Biology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3779/"
"Master's degree","Ansbach University of Applied Sciences","Applied Biotechnology","Mathematics, Natural Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7251/"
"Master's degree","Schmalkalden University of Applied Sciences","Applied Computer Science (MSc)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5551/"
"Master's degree","University of Göttingen","Applied Computer Science (MSc)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4700/"
"Master's degree","SRH University","Applied Computer Science (MSc)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3981/"
"Bachelor's degree","University of Potsdam","Applied Cultural and Translation Studies (German-Polish)","Languages and Cultural Studies in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7016/"
"Master's degree","University of Göttingen","Applied Data Science (MSc)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7641/"
"Master's degree","SRH University","Applied Data Science and Analytics (MSc)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4886/"
"Master's degree","University of Wuppertal","Applied Economics","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3956/"
"Master's degree","University of Bremen","Applied Geosciences","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7661/"
"Master's degree","RWTH Aachen University","Applied Geosciences – Applied Mineralogy and Crystallography (AMC) (MSc)","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6917/"
"Master's degree","RWTH Aachen University","Applied Geosciences – Energy & Mineral Resources (EMR) (MSc)","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4570/"
"Bachelor's degree","Weihenstephan-Triesdorf University of Applied Sciences","Applied Informatics","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9990/"
"Master's degree","Ruhr-Universität Bochum","Applied IT Security","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7795/"
"Master's degree","University of Bonn","Applied Linguistics","English Studies, American Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7731/"
"Bachelor's degree","SRH University","Applied Mechatronic Systems (BEng)","Mechanical Engineering / Process Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7801/"
"Bachelor's degree","Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau","Applied Media Communication German-French (Bachelor's)","Library, Documentation and Media Studies",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8968/"
"Master's degree","University of Koblenz","Applied Natural Sciences (MSc)","Mathematics, Natural Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4688/"
"Master's degree","Hof University of Applied Sciences","Applied Research in Computer Science (MSc)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6236/"
"Master's degree","University of Tübingen","Archaeology","Civilisation Studies in the narrower sense",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8919/"
"Master's degree","Anhalt University of Applied Sciences","Architectural and Cultural Heritage","Architecture",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4346/"
"Master's degree","Hochschule Wismar - University of Applied Sciences, Technology, Business and Design","Architectural Lighting Design","Architecture",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3795/"
"Master's degree","SRH University","Architecture – Design for the Built Environment (MA)","Architecture",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7730/"
"Master's degree","Leipzig University","Arqus Joint Master's Programme in European Studies","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8315/"
"Master's degree","Technische Hochschule Ingolstadt","Artificial Intelligence","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9704/"
"Master's degree","Universität zu Lübeck","Artificial Intelligence","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9003/"
"Master's degree","Brandenburg University of Technology Cottbus-Senftenberg","Artificial Intelligence","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8322/"
"Master's degree","University of Technology Nuremberg","Artificial Intelligence & Robotics (MSc)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9706/"
"Master's degree","FAU Erlangen-Nürnberg","Artificial Intelligence (AI), MSc","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7657/"
"Master's degree","Hof University of Applied Sciences","Artificial Intelligence Aided Mobility Design (MA)","Design",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9909/"
"Master's degree","Heinrich Heine University Düsseldorf","Artificial Intelligence and Data Science","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6937/"
"Master's degree","Hof University of Applied Sciences","Artificial Intelligence and Robotics (MSc)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8518/"
"Bachelor's degree","FAU Erlangen-Nürnberg","Artificial Intelligence BSc","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9594/"
"Master's degree","Ostbayerische Technische Hochschule Amberg-Weiden (OTH)","Artificial Intelligence for Industrial Applications, (MSc) full-time","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8977/"
"Master's degree","Technische Universität Braunschweig","Artificial Intelligence for Molecular Sciences","Chemistry",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9735/"
"Short course","RWTH Aachen University","Artificial Intelligence in Industrial Applications | Summer School","Computer Science","EUR 2,250","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9007/"
"Master's degree","RPTU University of Kaiserslautern-Landau","Automation & Control (A&C)","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4818/"
"Master's degree","Technische Hochschule Köln (University of Applied Sciences)","Automation & IT (Master of Engineering)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3961/"
"Master's degree","TU Dortmund University","Automation and Robotics","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8996/"
"Master's degree","University of Duisburg-Essen","Automation and Safety","Engineering in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6154/"
"Short course","RWTH Aachen University","Automation and Simulation | Summer School","Mechanical Engineering / Process Engineering","EUR 3,350","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5001/"
"Bachelor's degree","Technische Hochschule Mannheim","Automation Technology and Industrial Internet of Things (BSc Electrical Engineering)","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3618/"
"Master's degree","Ostfalia University of Applied Sciences - Hochschule Braunschweig/Wolfenbüttel","Automotive Service Technology and Processes (ASTP)","Mechanical Engineering / Process Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9187/"
"Master's degree","Chemnitz University of Technology","Automotive Software Engineering","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4122/"
"Master's degree","Deggendorf Institute of Technology","Automotive Software Engineering, MEng","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9841/"
"Master's degree","Esslingen University of Applied Sciences","Automotive Systems","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5423/"
"Master's degree","Coburg University of Applied Sciences and Arts","Autonomous Driving","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9016/"
"Master's degree","Hochschule Bonn-Rhein-Sieg","Autonomous Systems (MSc)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3799/"
"Bachelor's degree","Technische Hochschule Ingolstadt","Autonomous Vehicle Engineering","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6920/"
"Language course","University of Göttingen","Autumn Course: Communication in Everyday and Academic Life in Göttingen","German Language Course (including Literature and Culture Studies)","EUR 495","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4926/"
"Bachelor's degree","Worms University of Applied Sciences","Aviation Management Bachelor of Arts","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4335/"
"Bachelor's degree","Berlin International University of Applied Sciences","BA Architecture","Architecture",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5660/"
"Bachelor's degree","Berlin International University of Applied Sciences","BA Business Administration | International Management & Marketing","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4538/"
"Bachelor's degree","Berlin International University of Applied Sciences","BA Data Science & Business","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5461/"
"Bachelor's degree","Europa-Universität Flensburg","BA European Cultures and Society (EUCS)","Law, Economics and Social Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3887/"
"Bachelor's degree","Heidelberg University","BA German Studies in Cultural Comparison","German Language and Literature (German, Germanic Languages except English)",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4277/"
"Bachelor's degree","Berlin International University of Applied Sciences","BA Graphic Design & Visual Communication","Design",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4557/"
"Bachelor's degree","Bard College Berlin, a Liberal Arts University","BA in Artistic Practice and Society","Art, Art Theory in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9131/"
"Bachelor's degree","Bard College Berlin, a Liberal Arts University","BA in Economics, Politics, and Social Thought","Law, Economics and Social Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4537/"
"Bachelor's degree","Bard College Berlin, a Liberal Arts University","BA in Humanities, the Arts, and Social Thought","Political Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4535/"
"Bachelor's degree","Technical University of Applied Sciences Würzburg-Schweinfurt (THWS)","BA in International Management","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4546/"
"Bachelor's degree","Technical University of Applied Sciences Würzburg-Schweinfurt (THWS)","BA in Social Work (transnational)","Social Science",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9786/"
"Bachelor's degree","Berlin International University of Applied Sciences","BA Interior Architecture / Interior Design","Design",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4539/"
"Bachelor's degree","Deggendorf Institute of Technology","BA International Management","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3832/"
"Bachelor's degree","Stralsund University of Applied Sciences","BA International Management Studies in the Baltic Sea Region (BMS)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6453/"
"Bachelor's degree","Deggendorf Institute of Technology","BA International Tourism Management / Health & Medical Tourism","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4595/"
"Bachelor's degree","University of Applied Management Studies","BA Management in International Business","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6403/"
"Bachelor's degree","Europa-Universität Flensburg","BA Social Sciences: Social and Political Change / BA Sozialwissenschaften: Social and Political Change","Social Science",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8928/"
"Bachelor's degree","Pforzheim University","Bachelor Business Administration / International Marketing (BSc)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9199/"
"Bachelor's degree","Hochschule für Technik und Wirtschaft Dresden – University of Applied Sciences","Bachelor Electrical Engineering/Elektrotechnik (BEng)","Electrical Engineering",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4762/"
"Bachelor's degree","Kühne Logistics University","Bachelor in Business Administration – International Management","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4392/"
"Bachelor's degree","University of Bamberg","Bachelor in European Economic Studies (BSc EES)","Business and Economics",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3635/"
"Bachelor's degree","Darmstadt University of Applied Sciences","Bachelor of Arts Animation and Game","Design",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6120/"
"Bachelor's degree","Johannes Gutenberg University Mainz","Bachelor of Arts in English Literature and Culture","English Studies, American Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9023/"
"Bachelor's degree","University of Passau","Bachelor of Arts in European Studies / Bachelor of Arts in European Studies (Major)","Languages and Cultural Studies in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3642/"
"Bachelor's degree","Constructor University","Bachelor of Arts in Global Economics and Management","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4128/"
"Bachelor's degree","University of Passau","Bachelor of Arts in Governance and Public Policy","Political Science",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6285/"
"Bachelor's degree","Constructor University","Bachelor of Arts in International Business Administration","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4631/"
"Bachelor's degree","Constructor University","Bachelor of Arts in International Business Administration","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9772/"
"Bachelor's degree","Furtwangen University","Bachelor of Arts in International Business Management (IBM)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3675/"
"Bachelor's degree","University of Passau","Bachelor of Arts in International Cultural and Business Studies","Languages and Cultural Studies in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3643/"
"Bachelor's degree","Constructor University","Bachelor of Arts in International Relations: Politics and History","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4048/"
"Bachelor's degree","Freie Universität Berlin","Bachelor of Arts in North American Studies","English Studies, American Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4612/"
"Bachelor's degree","Technical University of Munich","Bachelor of Engineering in Chemical Engineering","Chemistry",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7673/"
"Bachelor's degree","FH Aachen University of Applied Sciences","Bachelor of Engineering in Electrical Engineering","Electrical Engineering",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3998/"
"Bachelor's degree","Technical University of Munich","Bachelor of Engineering in Electronics & Data Engineering","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7674/"
"Bachelor's degree","Carl von Ossietzky University of Oldenburg","Bachelor of Engineering in Engineering Physics","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3772/"
