"Level","Institution","Program_Title","Field","Cost","Language","Link"
"Short course","RWTH Aachen University","Production Technology Meets Industry 4.0 | Summer School","Mechanical Engineering / Process Engineering","EUR 3,350","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5277/"
"Master's degree","HTW Berlin University of Applied Sciences","Professional IT Business & Digitalisation","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6529/"
"Master's degree","Julius-Maximilians-Universität Würzburg","Protein Chemistry, Master of Science","Biology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4646/"
"Master's degree","Leuphana University Lüneburg","Psychology & Sustainability (MSc, Double Degree)","Psychology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7679/"
"Bachelor's degree","Leuphana University Lüneburg","Psychology (BSc)","Psychology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9718/"
"Master's degree","Leuphana University Lüneburg","Public Affairs and Democracy (MSc)","Political Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9714/"
"Master's degree","Leuphana University Lüneburg","Public Affairs and Economics (MSc)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9715/"
"Master's degree","Dresden University of Technology","Public and International Economics","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8915/"
"Master's degree","University of Potsdam","Public Health, Exercise, and Nutrition","Nutritional and Domestic Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9724/"
"Master's degree","University of Applied Sciences Kehl","Public Management in International Cooperation – Designing African-European and Intra-African Relations (PMIC)","Public Administration",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9756/"
"Short course","Technische Universität Berlin","Python for Data Analysis and Visualisation","Computer Science","EUR 1,050","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7931/"
"Bachelor's degree","Heinrich Heine University Düsseldorf","Quantitative Biology","Biology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7678/"
"Master's degree","University of Tübingen","Quantitative Data Science Methods – Psychometrics, Econometrics and Machine Learning (QDS)","Mathematics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6535/"
"Master's degree","Bielefeld University","Quantitative Economics","Mathematics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6368/"
