"Program_Title","Institution","Level","City","Link","Field","Language","Country","ECTS","Department","Duration","Tuition","Contact_Email","Form","Institution_URL","Credits_Percent","ECTS_Foreign","Cost_per_ECTS","Subjects_Foreign","Linguistic_Requirements"
"Master in Business engineering (ir.)","Haute Ecole ICHEC - ECAM - ISFSC","Master",NA,"https://www.studyinbelgium.be/en/haute-ecole-ichec-ecam-isfsc",NA,"Français, Anglais","Belgium","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master in management engineering (ir.)","Université de Mons","Master",NA,"https://www.studyinbelgium.be/en/universite-de-mons",NA,"Français, Anglais","Belgium","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master in management engineering (ir.)","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"Français, Anglais","Belgium","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master in management engineering (ir.)","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"Français, Anglais","Belgium","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master in management engineering (ir.)","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"Français, Anglais","Belgium","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master in management engineering (ir.)","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"English","Belgium","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master in management engineering (ir.)","Université de Namur","Master",NA,"https://www.studyinbelgium.be/en/universite-de-namur",NA,"Français, Anglais","Belgium","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Career Support For Education, Management, Healthcare and Social Work Professionals","Université de Namur","Master",NA,"https://www.studyinbelgium.be/en/universite-de-namur",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in International Humanitarian Aid","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"Français, Anglais","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Pathological Anatomy","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Pathological Anatomy","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Pathological Anatomy","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Anaesthesia-Intensive Care","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Anaesthesia-Intensive Care","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Anaesthesia-Intensive Care","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Childrens Rights : Interdisciplinary Approach","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Archaeological Science","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Archival Science, Data Management and Data Law","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Plastic, Visual and Spatial Arts: Design for Social Innovation","Ecole supérieure des Arts Saint-Luc de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/ecole-superieure-des-arts-saint-luc-de-bruxelles",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Clinical Biology","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Clinical Biology","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Clinical Biology","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Clinical Biology","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Clinical Biology","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Cardiology","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Cardiology","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Cardiology","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Surgery","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Surgery","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Surgery","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Orthopaedic Surgery","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Orthopaedic Surgery","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Orthopaedic Surgery","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Plastic, Reconstructive and Cosmetic Surgery","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Plastic, Reconstructive and Cosmetic Surgery","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Plastic, Reconstructive and Cosmetic Surgery","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Multidisciplinary Psychotherapy","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Heritage Conservation and Restoration","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Film Studies","Université de Namur","Master",NA,"https://www.studyinbelgium.be/en/universite-de-namur",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Visual Cultures","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"Français, Anglais","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in General Dentistry","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in General Dentistry","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in General Dentistry","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Venereology-Dermatology","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Venereology-Dermatology","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Venereology-Dermatology","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Dermopharmacy and Cosmetology","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Environmental Law and Public Real Estate Law","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Information Technology and Communication Law","Université de Namur","Master",NA,"https://www.studyinbelgium.be/en/universite-de-namur",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in European Law","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"Français, Anglais","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in European Law","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in European Law","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"Français, Anglais","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Tax Law","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Tax Law","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in International Law","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in International Law","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"Français, Anglais","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Social Law/Legislation","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Human Rights","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specialised master in International development economics","Université de Namur","Master",NA,"https://www.studyinbelgium.be/en/universite-de-namur",NA,"English","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Social Economy","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Entrepreneurship","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in European Business and Economic Policy","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"English","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in African Studies","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Gender Studies","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in the Training of Teachers","Université de Namur","Master",NA,"https://www.studyinbelgium.be/en/universite-de-namur",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in the Training of Teachers","Université de Mons","Master",NA,"https://www.studyinbelgium.be/en/universite-de-mons",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in the Training of Teachers","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in the Training of Teachers","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Gastroenterology","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Gastroenterology","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Gastroenterology","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Clinical Genetics","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"English","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Clinical Genetics","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"Français, Anglais","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Clinical Genetics","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"Français, Anglais","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Brewing Engineering","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Nuclear Engineering","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"Français, Anglais","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Nuclear Engineering","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"English","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Geriatrics","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Geriatrics","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Geriatrics","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Health Data Management","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Risk Management and Well-Being in the Workplace","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Risk Management and Well-Being in the Workplace","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Risk and Disaster Management in the Anthropocene Era","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Financial Risk Management","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"Français, Anglais","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Financial Risk Management","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Industrial and Technological Management","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Integrated Health Risk Management","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"Français, Anglais","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Total Quality Management","Université de Mons","Master",NA,"https://www.studyinbelgium.be/en/universite-de-mons",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Gynaecology and Obstetrics","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Gynaecology and Obstetrics","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Gynaecology and Obstetrics","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Computing and Innovation","Université de Namur","Master",NA,"https://www.studyinbelgium.be/en/universite-de-namur",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Management of Food Chain Safety","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Sustainable Development Economics and Management","Université de Namur","Master",NA,"https://www.studyinbelgium.be/en/universite-de-namur",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Urban and Territorial Management","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Acute Medicine","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Acute Medicine","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Emergency Medicine","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Emergency Medicine","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Emergency Medicine","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Occupational Medicine","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Occupational Medicine","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in General Medicine","Université de Namur","Master",NA,"https://www.studyinbelgium.be/en/universite-de-namur",NA,"French","Belgium","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in General Medicine","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in General Medicine","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in General Medicine","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Internal Medicine","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Internal Medicine","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Internal Medicine","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Forensic Medicine","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Forensic Medicine","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Forensic Medicine","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Nuclear Medicine","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Nuclear Medicine","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Nuclear Medicine","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Physical Medicine and Rehabilitation","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Physical Medicine and Rehabilitation","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Physical Medicine and Rehabilitation","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"French","Belgium","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Quantitative Methods in the Social Sciences","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"Français, Anglais","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specialised master in Public health methology","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"English","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specialised master in Microfinance","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"English","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Nanotechnologies","Université catholique de Louvain","Master",NA,"https://www.studyinbelgium.be/en/universite-catholique-de-louvain",NA,"Français, Anglais","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Nanotechnologies","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"Français, Anglais","Belgium","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Neurosurgery","Université de Liège","Master",NA,"https://www.studyinbelgium.be/en/universite-de-liege",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Master in Neurosurgery","Université libre de Bruxelles","Master",NA,"https://www.studyinbelgium.be/en/universite-libre-de-bruxelles",NA,"French","Belgium","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
