"Program_Title","Institution","Level","City","Link","Field","Language","Country","ECTS","Department","Duration","Tuition","Contact_Email","Form","Institution_URL","Credits_Percent","ECTS_Foreign","Cost_per_ECTS","Subjects_Foreign","Linguistic_Requirements"
"Natural Sciences","Akademie der bildenden Künste Wien","PhD","Wien","https://www.studienwahl.at/studies/art-studies/201-natural-sciences-4-3-wien.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philosophy","Universität für angewandte Kunst Wien","PhD","Wien","https://www.studienwahl.at/studies/art-studies/doctoral-programmes/222-philosophy-4-3-wien.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digital Art – Compositing","Universität für Musik und darstellende Kunst Wien","Master","Wien","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/film-and-television/266-digital-art-compositing-12-3-wien.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conducting","Universität für Musik und darstellende Kunst Graz","Bachelor","Graz","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/conducting/267-conducting-2-3-graz.en.html","Art Studies","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conducting","Universität für Musik und darstellende Kunst Graz","Master","Graz","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/conducting/268-conducting-12-3-graz.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philosophy","Universität für Musik und darstellende Kunst Wien","PhD","Wien","https://www.studienwahl.at/studies/art-studies/phd/274-philosophy-4-3-wien.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philosophy","Universität Mozarteum Salzburg","PhD","Salzburg","https://www.studienwahl.at/studies/art-studies/phd/275-philosophy-4-3-salzburg.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scholarly Doctoral Programme","Universität für Musik und darstellende Kunst Graz","PhD","Graz","https://www.studienwahl.at/studies/art-studies/phd/276-scholarly-doctoral-programme-4-3-graz.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philosophy","Kunstuniversität Linz","PhD","Linz","https://www.studienwahl.at/studies/art-studies/phd/277-philosophy-4-3-linz.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Electrical Engineering and Audio Engineering","Technische Universität Graz","Bachelor","Graz","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/electrical-engineering-sound-engineering/306-electrical-engineering-and-audio-engineering-2-3-graz.en.html","Art Studies","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Electrical Engineering and Audio Engineering","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/electrical-engineering-sound-engineering/307-electrical-engineering-and-audio-engineering-12-3-graz.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elementary Music and Movement Education","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/teacher-training-programmes/teacher-training-arts/music-and-movement-education/310-elementary-music-and-movement-education-12-3-salzburg.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
