"Program_name","Institution","Level","Language","Link"
"ACCOUNTANCY AND AUDIT","Western Serbia Academy of Applied Studies - Uzice Department","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/western-serbia-academy-of-applied-studies-uzice-department-specialist-applied-accountancy-and-audit"
"ACCOUNTANCY AND AUDIT","Faculty of Economics - unit in Novi Sad","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-economics-master-accountancy-and-audit-novi-sad"
"ACCOUNTANCY AND AUDIT","Faculty of Economics","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-economics-master-accountancy-and-audit"
"ACCOUNTANCY, MONITORING AND AUDIT","Belgrade Business and Arts Academy of Applied Studies - Department of Business and Information Studies","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/belgrade-business-and-arts-academy-of-applied-studies-department-of-business-and-information-studies-belgrade-specialist-applied-accountancy-monitoring-and-audit"
"ACCOUNTING AND AUDIT","Western Serbia Academy of Applied Studies - Uzice Department","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/western-serbia-academy-of-applied-studies-uzice-department-bachelor-applied-accounting-and-audit"
"ACCOUNTING AND AUDIT","College of Economics and Administration","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/college-of-economics-and-administration-belgrade-bachelor-applied-accounting-and-audit"
"ACCOUNTING, CONTROLlING, AND BUSINESS FINANCE (3 MODULES)","Faculty of Economics","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-economics-master-accounting-controlling-and-business-finance"
"ACTING","Faculty of Drama Arts","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-arts-in-belgrade-faculty-of-drama-arts-bachelor-acting"
"ACTING","Faculty of Contemporary Art","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/business-academy-university-faculty-of-contemporary-art-master-acting"
"ACTING","Faculty of Contemporary Art","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/business-academy-university-faculty-of-contemporary-art-bachelor-acting"
"ACTING","Academy of Arts","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-academy-of-arts-master-acting"
"ACTING","Academy of Arts Belgrade","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/alfa-bk-university-academy-of-arts-belgrade-bachelor-acting"
"ACTING","Academy of Arts","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-academy-of-arts-bachelor-acting"
"ACTING FOR STAGE AND SCREEN","Academy of Arts Belgrade","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/alfa-bk-university-academy-of-arts-belgrade-master-acting-for-stage-and-screen"
"ADMINISTRATOR RAČUNARSKIH MREŽA","ELEKTROTEHNIČKA ŠKOLA „MIJA STANIMIROVIć”","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/elektrotehnicka-skola-mija-stanimirovic-nis-administrator-racunarskih-mreza"
"ADMINISTRATOR RAČUNARSKIH MREŽA","MAŠINSKO-ELEKTROTEHNIČKA ŠKOLA","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/masinsko-elektrotehnicka-skola-bor-administrator-racunarskih-mreza"
"ADMINISTRATOR RAČUNARSKIH MREŽA","TEHNIČKA ŠKOLA","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/tehnicka-skola-novi-pazar-administrator-racunarskih-mreza"
"ADMINISTRATOR RAČUNARSKIH MREŽA","PRVA TEHNIČKA ŠKOLA","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/prva-tehnicka-skola-kragujevac-administrator-racunarskih-mreza"
"ADMINISTRATOR RAČUNARSKIH MREŽA","ELEKTROTEHNIČKA ŠKOLA „NIKOLA TESLA”","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/elektrotehnicka-skola-nikola-tesla-beograd-administrator-racunarskih-mreza"
"ADMINISTRATOR RAČUNARSKIH MREŽA","ELEKTROTEHNIČKA ŠKOLA ZEMUN","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/elektrotehnicka-skola-zemun-beograd-administrator-racunarskih-mreza"
"ADMINISTRATOR RAČUNARSKIH MREŽA","ELEKTROTEHNIČKA ŠKOLA „MIHAJLO PUPIN”","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/elektrotehnicka-skola-mihajlo-pupin-novi-sad-administrator-racunarskih-mreza"
"ADMINISTRATOR RAČUNARSKIH MREŽA","TEHNIČKA ŠKOLA „9. MAJ”","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/tehnicka-skola-9.-maj-backa-palanka-administrator-racunarskih-mreza"
"ADMINISTRATOR RAČUNARSKIH MREŽA","ELEKTROTEHNIČKA ŠKOLA „NIKOLA TESLA”","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/elektrotehnicka-skola-nikola-tesla-pancevo-administrator-racunarskih-mreza"
"ADMINISTRATOR RAČUNARSKIH MREŽA","TEHNIČKA ŠKOLA","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/tehnicka-skola-ada-administrator-racunarskih-mreza"
"ADVANCED DATA ANALYTICS","University of Belgrade","Academic","English","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-master-advanced-data-analytics"
"ADVANCED DATA ANALYTICS IN BUSINESS","Faculty of Economics - unit in Novi Sad","Academic","English","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-economics-master-advanced-data-analytics-in-business"
"ADVANCED DATA ANALYTICS IN BUSINESS","Faculty of Economy","Academic","English","https://www.bazaobrazovanja.rs/en/program/university-of-nis-faculty-of-economy-master-advanced-data-analytics-in-business"
"ADVANCED INFORMATION TECHNOLOGIES","Faculty of Business and Law","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/mb-university-belgrade-faculty-of-business-and-law-phd-advanced-information-technologies"
"ADVANCED INFORMATION TECHNOLOGY IN DIGITAL TRANSFORMATION","School of Electrical Engineering","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-school-of-electrical-engineering-master-advanced-information-technology-in-digital-transformation"
"ADVANCED INFORMATION TECHNOLOGY IN DIGITAL TRANSFORMATION","Faculty of Organizational Sciences","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-organizational-sciences-master-advanced-information-technology-in-digital-transformation"
"ADVANCED SAFETY SYSTEMS","Singidunum University","Academic","English","https://www.bazaobrazovanja.rs/en/program/singidunum-university-belgrade-phd-advanced-safety-systems"
"ADVANCED SOFTWARE SYSTEMS","Metropolitan University","Academic","English","https://www.bazaobrazovanja.rs/en/program/metropolitan-university-belgrade-masteradvanced-software-systems"
"AGRIBUSINESS MANAGEMENT","Department of Agricultural - Business Studies and Tourism","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/academy-of-vocational-studies-sabac-department-of-agricultural-business-studies-and-tourism-master-applied-agribusiness-management"
"AGRIBUSINESS МANAGEMENT","Faculty of Economics - unit in Novi Sad","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-economics-novi-sad-master-agribusiness-management"
"AGRICULTURAL ECONOMICS","Faculty of Agriculture","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-agriculture-phd-agricultural-economics"
"AGRICULTURAL ECONOMICS","Faculty of Agriculture","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-agriculture-master-agricultural-economics"
"AGRICULTURAL ECONOMICS","Faculty of Agriculture","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-agriculture-bachelor-agricultural-economics"
"AGRICULTURAL ECONOMICS","Faculty of Agriculture","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-agriculture-bachelor-agricultural-economics"
"AGRICULTURAL ECONOMICS","Faculty of Agriculture","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-agriculture-master-agricultural-economics"
"AGRICULTURAL SCIENCES","Educons University","Academic","English","https://www.bazaobrazovanja.rs/en/program/educons-university-novi-sad-phd-agricultural-sciences"
"AGRICULTURAL SCIENCES","Faculty of Agriculture","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-agriculture-phd-agricultural-sciences"
"AGRICULTURAL TECHNIQUE AND INFORMATION SYSTEMS","Faculty of Agriculture","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-agriculture-bachelor-agricultural-technique-and-information-systems"
"AGRICULTURE","Faculty of Agriculture","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-agriculture-master-agriculture"
"AGRICULTURE (4 MODULES)","Faculty of Agriculture","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-nis-faculty-of-agriculture-master-agriculture-4-modules"
"AGRI-FOOD VALUE CHAIN","Faculty of Agriculture","Academic","English","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-agriculture-phd-agri-food-value-chain"
"AGRO-BUSINESS MANAGEMENT","Faculty of Economics","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-economics-master-agricultural-economics-and-agro-business"
"AGROECONOMY AND RURAL DEVELOPMENT","Faculty of Agriculture","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-agriculture-phd-agroeconomy-and-rural-development"
"AGRONOMY","Faculty of Agriculture","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-agriculture-phd-agronomy"
"AGRONOMY","Faculty of Agronomy","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-kragujevac-faculty-of-agronomy-master-agronomy"
"AGRONOMY","Faculty of Agronomy","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-kragujevac-faculty-of-agronomy-phd-agronomy"
"AGRONOMY (2 MODULES)","Department of Agricultural - Business Studies and Tourism","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/academy-of-vocational-studies-sabac-department-of-agricultural-business-studies-and-tourism-bachelor-applied-2-modules"
"AIRCRAFT ENGINEERING","College of Applied Studies Aviation Academy","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/college-of-applied-studies-aviation-academy-bachelor-applied-aircraft-engineering"
"AIR TRAFFIC CONTROL","College of Applied Studies Aviation Academy","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/college-of-applied-studies-aviation-academy-bachelor-applied-air-traffic-control"
"AIR TRANSPORT","College of Applied Studies Aviation Academy","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/college-of-applied-studies-aviation-academy-bachelor-applied-air-transport"
"ANAESTHETIST","Faculty of Medicine","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-school-of-medicine-master-applied-anaesthetist"
"ANALYTICS AND OPTIMIZATION","Faculty of Organizational Sciences","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-organizational-sciences-phd-analytics-and-optimization"
"ANDRAGOGY","Faculty of Philosophy","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-philosophy-phd-andragogy"
"ANDRAGOGY","Faculty of Philosophy","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-philosophy-master-andragogy"
"ANDRAGOGY","Faculty of Philosophy","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-philosophy-bachelor-andragogy"
"ANIMAL PRODUCTION","Faculty of Agriculture","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-agriculture-master-animal-production"
"ANIMAL PRODUCTION","Faculty of Agriculture","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-agriculture-bachelor-animal-production"
"ANIMATION IN ENGINEERING","Faculty of Technical Sciences","Academic","English","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-technical-sciences-phd-animation-in-engineering"
"ANIMATION IN ENGINEERING","Faculty of Technical Sciences","Academic","English","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-technical-sciences-master-animation-in-engineering"
"ANIMATION IN ENGINEERING","Faculty of Technical Sciences","Academic","English","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-technical-sciences-bachelor-animation-in-engineering"
"ANTIQUE CULTURE AND CLASSICAL HERITAGE","Faculty of Philosophy","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-philosophy-master-antique-culture-and-classical-heritage"
"APPAREL ENGINEERING AND DESIGN","Faculty of Technical Sciences","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-kragujevac-faculty-of-technical-sciences-bachelor-applied-apparel-engineering-and-design"
"APPLIED AND COMPUTER PHYSICS","Faculty of Physics","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-physics-master-applied-and-computer-physics"
"APPLIED AND COMPUTER PHYSICS","Faculty of Physics","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-physics-bachelor-applied-and-computer-physics"
"APPLIED ARTIFICIAL INTELLIGENCE","Singidunum University","Academic","English","https://www.bazaobrazovanja.rs/en/program/singidunum-university-belgrade-bachelor-applied-artificial-intelligence"
"APPLIED ARTS (6 MODULES)","Faculty of Applied Arts","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-arts-in-belgrade-faculty-of-applied-arts-integrated-applied-arts-6-modules"
"APPLIED ARTS (6 MODULES)","Faculty of Applied Arts","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-arts-in-belgrade-faculty-of-applied-arts-master-applied-arts-6-modules"
"APPLIED ARTS AND DESIGN","Academy of Arts","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-academy-of-arts-phd-applied-arts-and-design"
"APPLIED ARTS AND DESIGN","Faculty of Applied Arts","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-arts-in-belgrade-faculty-of-applied-arts-phd-applied-arts-and-design"
"APPLIED ARTS AND DESIGN (2 MODULES)","Academy of Arts","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-academy-of-arts-master-applied-arts-and-design-2-modules"
"APPLIED ARTS AND DESIGN (3 MODULES)","Academy of Arts","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-academy-of-arts-bachelor-applied-arts-and-design-3-modules"
"APPLIED CHEMISTRY WITH MANAGEMENT","Faculty of Sciences and Mathematics","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/%20university-of-nis-faculty-of-sciences-and-mathematics-master-applied-chemistry-with-management"
"APPLIED ECONOMICS AND ENTREPRENEURSHIP","Academy of Vocational Studies Šumadija - Аranđelovac Department","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/academy-of-vocational-studies-sumadija-arandjelovac-department-bachelor-applied-applied-economics-and-entrepreneurship"
"APPLIED ECONOMICS AND FINANCES","Faculty for Applied Management, Economy and Finance","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/business-academy-university-faculty-for-applied-management-economy-and-finance-master-applied-economics-and-finances"
"APPLIED ECONOMICS AND FINANCES","Faculty for Applied Management, Economy and Finance","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/business-academy-university-faculty-for-applied-management-economy-and-finance-bachelor-applied-economics-and-finances"
"APPLIED ENGLISH STUDIES","Singidunum University","Academic","English","https://www.bazaobrazovanja.rs/en/program/singidunum-university-belgrade-master-applied-english-studies"
"APPLIED INFORMATICS","College of Applied Studies in Management and Business Communication","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/college-of-applied-studies-in-management-and-business-communication-sremski-karlovci-bachelor-applied-applied-informatics"
"APPLIED INFORMATION TECHNOLOGIES","Department of Business Studies Blace","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/toplica-academy-of-applied-studies-department-of-business-studies-blace-specialist-applied-applied-information-technologies"
"APPLIED INFORMATION TECHNOLOGIES","Faculty for Applied Management, Economy and Finance","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/business-academy-university-faculty-for-applied-management-economy-and-finance-bachelor-applied-information-technologies"
"APPLIED MATHEMATICS","Faculty of Sciences","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-sciences-master-applied-mathematics"
"APPLIED MATHEMATICS","Faculty of Sciences","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-sciences-bachelor-applied-mathematics"
"APPLIED MATHEMATICS: DATA SCIENCE","Faculty of Sciences","Academic","English","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-sciences-master-applied-mathematics-data-science"
"APPLIED PSYCHOLOGY","Faculty of Media and Communications","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/singidunum-university-faculty-of-media-and-communications-master-applied-psychology"
"APPLIED PSYCHOLOGY","Faculty of Sport and Psychology","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/educons-university-faculty-for-sports-and-tourism-master-applied-psychology"
"APPLIED RESEARCH IN MUSIC","Faculty of Music Arts","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-arts-in-belgrade-faculty-of-music-arts-master-applied-research-in-music"
"APPLIED SOFTWARE ENGINEERING","Faculty of Technical Sciences","Academic","English","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-technical-sciences-bachelor-applied-software-engineering"
"APPLIED SOFTWARE ENGINEERING","Faculty of Technical Sciences","Academic","English","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-technical-sciences-master-applied-software-engineering"
"APPLIED SOFTWARE ENGINEERING AND INFORMATION TECHNOLOGIES","Faculty of Diplomacy and Security","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/union-nikola-tesla-university-faculty-of-diplomacy-and-security-bachelor-applied-software-engineering-and-information-technologies"
"ARANŽER","ŠKOLA PRIMENjENIH UMETNOSTI","Artistic secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/skola-primenjenih-umetnosti-sabac-aranzer"
"ARANŽER U TRGOVINI","TRGOVINSKA ŠKOLA","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/trgovinska-skola-nis-aranzer-u-trgovini"
"ARANŽER U TRGOVINI","TRGOVAČKA ŠKOLA","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/trgovacka-skola-beograd-aranzer-u-trgovini"
"ARCHAEOLOGY","Faculty of Philosophy","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-philosophy-bachelor-archaeology"
"ARCHAEOLOGY","Faculty of Philosophy","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-philosophy-master-archaeology"
"ARCHAEOLOGY","Faculty of Philosophy","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-philosophy-phd-archaeology"
"ARCHITECTURE","Department School of Civil Engineering and Geodesy","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/academy-of-technical-and-art-applied-studies-belgrade-department-school-of-civil-engineering-and-geodesy-master-applied-architecture"
"ARCHITECTURE","Academy of Technical-Educational Vocational Studies Niš - Niš Department","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/academy-of-technical-educational-vocational-studies-nis-nis-department-bachelor-applied-architecture"
"ARCHITECTURE","State University of Novi Pazar","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/state-university-of-novi-pazar-integrated-architecture"
"ARCHITECTURE","Department School of Civil Engineering and Geodesy","Applied","Serbian","https://www.bazaobrazovanja.rs/en/program/academy-of-technical-and-art-applied-studies-belgrade-department-school-of-civil-engineering-and-geodesy-bachelor-applied-architecture"
"ARCHITECTURE","Faculty of Civil Engineering and Architecture","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-nis-faculty-of-civil-engineering-and-architecture-integrated-architecture"
"ARCHITECTURE","Faculty of Architecture","Academic","English","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-architecture-master-architecture"
"ARCHITECTURE","Faculty of Architecture","Academic","English","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-architecture-integrated-architecture"
"ARCHITECTURE","Faculty of Architecture","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-architecture-bachelor-architecture"
"ARCHITECTURE","Faculty of Technical Sciences","Academic","English","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-technical-sciences-phd-architecture"
"ARCHITECTURE","Faculty of Technical Sciences","Academic","English","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-technical-sciences-bachelor-architecture"
"ARCHITECTURE","Faculty of Technical Sciences","Academic","English","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-technical-sciences-master-architecture"
"ARCHITECTURE","Faculty of Civil Engineering and Architecture","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-nis-faculty-of-civil-engineering-and-architecture-phd-architecture"
"ARCHITECTURE AND URBANISM","Faculty of Architecture","Academic","English","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-architecture-phd-architecture-and-urbanism"
"ARCHITECTURE AND URBANISM","Union - Nikola Tesla University","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/union-nikola-tesla-university-belgrade-phd-architecture-and-urbanism"
"ARCHITECTURE AND URBANISM","Union - Nikola Tesla University","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/union-nikola-tesla-university-belgrade-bachelor-architecture-and-urbanism"
"ARCHITECTURE AND URBANISM","Union - Nikola Tesla University","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/union-nikola-tesla-university-belgrade-master-architecture-and-urbanism"
"ARHITEKTONSKI TEHNIČAR","GRAĐEVINSKA TEHNIČKA ŠKOLA „NEIMAR”","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/gradjevinska-tehnicka-skola-neimar-nis-arhitektonski-tehnicar"
"ARHITEKTONSKI TEHNIČAR","ŠKOLA ZA DIZAJN TEKSTILA I KOŽE","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/skola-za-dizajn-tekstila-i-koze-novi-pazar-arhitektonski-tehnicar2"
"ARHITEKTONSKI TEHNIČAR","ŠKOLA ZA DIZAJN TEKSTILA I KOŽE","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/skola-za-dizajn-tekstila-i-koze-novi-pazar-arhitektonski-tehnicar"
"ARHITEKTONSKI TEHNIČAR","MAŠINSKA TEHNIČKA ŠKOLA „14. OKTOBAR”","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/masinska-tehnicka-skola-14.-oktobar-kral%D1%98evo-arhitektonski-tehnicar"
"ARHITEKTONSKI TEHNIČAR","TEHNIČKA ŠKOLA","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/tehnicka-skola-cacak-arhitektonski-tehnicar"
"ARHITEKTONSKI TEHNIČAR","POLITEHNIČKA ŠKOLA „MILUTIN MILANKOVIć”","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/politehnicka-skola-milutin-milankovic-krusevac-arhitektonski-tehnicar"
"ARHITEKTONSKI TEHNIČAR","TEHNIČKA ŠKOLA","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/tehnicka-skola-sabac-arhitektonski-tehnicar"
"ARHITEKTONSKI TEHNIČAR","TEHNIČKA ŠKOLA","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/tehnicka-skola-loznica-arhitektonski-tehnicar"
"ARHITEKTONSKI TEHNIČAR","TEHNIČKA ŠKOLA","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/tehnicka-skola-val%D1%98evo-arhitektonski-tehnicar"
"ARHITEKTONSKI TEHNIČAR","TEHNIČKA ŠKOLA „RADOJE LjUBIČIć”","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/tehnicka-skola-radoje-ljubicic-uzice-arhitektonski-tehnicar"
"ARHITEKTONSKI TEHNIČAR","ELEKTROTEHNIČKA I GRAĐEVINSKA ŠKOLA „NIKOLA TESLA”","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/elektrotehnicka-i-gradjevinska-skola-nikola-tesla-jagodina-arhitektonski-tehnicar"
"ARHITEKTONSKI TEHNIČAR","PRVA TEHNIČKA ŠKOLA","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/prva-tehnicka-skola-kragujevac-arhitektonski-tehnicar"
"ARHITEKTONSKI TEHNIČAR","ARHITEKTONSKA TEHNIČKA ŠKOLA","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/arhitektonska-tehnicka-skola-beograd-arhitektonski-tehnicar"
"ARHITEKTONSKI TEHNIČAR","SREDNjA TEHNIČKA ŠKOLA „NIKOLA TESLA”","Artistic secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/srednja-tehnicka-skola-nikola-tesla-sremska-mitrovica-arhitektonski-tehnicar"
"ARHITEKTONSKI TEHNIČAR","TEHNIČKA ŠKOLA „MILEVA MARIć AJNŠTAJN”","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/tehnicka-skola-mileva-maric-ajnstajn-novi-sad-arhitektonski-tehnicar"
"ARHITEKTONSKI TEHNIČAR","POLITEHNIČKA ŠKOLA","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/politehnicka-skola-subotica-arhitektonski-tehnicar"
"ARHITEKTONSKI TEHNIČAR","TEHNIČKA ŠKOLA „23. MAJ”","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/tehnicka-skola-23.-maj-pancevo-arhitektonski-tehnicar"
"ARHITEKTONSKI TEHNIČAR","ELEKTROTEHNIČKA I GRAĐEVINSKA ŠKOLA „NIKOLA TESLA”","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/elektrotehnicka-i-gradjevinska-skola-nikola-tesla-zrenjanin-arhitektonski-tehnicar"
"ARHITEKTONSKI TEHNIČAR","SREDNjA STRUČNA ŠKOLA „MILOŠ CRNjANSKI”","Vocational secondary education","Serbian","https://www.bazaobrazovanja.rs/en/program/srednja-strucna-skola-milos-crnjanski-kikinda-arhitektonski-tehnicar"
"ART AND DESIGN OF VIDEO GAMES","University of Arts in Belgrade","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-arts-in-belgrade-master-art-and-design-of-video-games"
"ART AND DESIGN OF VIDEO GAMES","Faculty of Mathematics","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-belgrade-faculty-of-mathematics-master-art-and-design-of-video-games"
"ART AND MEDIA THEORY","University of Arts in Belgrade","Academic","Serbian","https://www.bazaobrazovanja.rs/en/program/university-of-arts-in-belgrade-master-art-and-media-theory"
"ARTIFICIAL INTELLIGENCE","University of Kragujevac","Academic","English","https://www.bazaobrazovanja.rs/en/program/university-of-kragujevac-master-artificial-intelligence"
"ARTIFICIAL INTELLIGENCE","Faculty of Sciences","Academic","English","https://www.bazaobrazovanja.rs/en/program/university-of-novi-sad-faculty-of-sciences-master-artificial-intelligence"
