"Level","Programme","Institution","Language"
"Master","Vusual arts: Contemporary visual practices","AVA – The Academy of Visual Arts","English"
"Master","Quality Management","Faculty of organisation studies","English"
"Master","Cyber Security","The Faculty of Information Studies","English"
"Master","Data Sciences","The Faculty of Information Studies","English"
"Master","Business Informatics","The Faculty of Information Studies","English"
"Master","Informatics in Contemporary Society","The Faculty of Information Studies","English"
"Master","Management of blockchain and WEB3 technologies","GEA College","English"
"Master","International business and sustainable development","IBS International Business programme Ljubljana","English"
"Master","Nanosciences and Nanotechnologies","Jožef Stefan International Postgraduate School","English"
"Master","Ecotechnologies","Jožef Stefan International Postgraduate School","English"
"Master","Information and Communication Technologies","Jožef Stefan International Postgraduate School","English"
"Master","Sustainable Mobility and Logistics","NOA","English"
"Doctoral","Archival Science","ALMA MATER EUROPAEA, European Centre, Maribor","English"
"Doctoral","Physiotherapy","ALMA MATER EUROPAEA, European Centre, Maribor","English"
"Doctoral","Project Management","ALMA MATER EUROPAEA, European Centre, Maribor","English"
"Doctoral","Social Garontology","ALMA MATER EUROPAEA, European Centre, Maribor","English"
"Doctoral","Strategic Communication Management","ALMA MATER EUROPAEA, European Centre, Maribor","English"
"Doctoral","Applied Artificial Intelligence","ALMA MATER EUROPAEA","English"
"Doctoral","Humanities","Alma Mater Europaea, Faculty for humanities studies, Institutum Studiorum Humanitatis, Ljubljana","English"
"Doctoral","Ecotechnology","Jožef Stefan International Postgraduate School (IPS)","English"
"Doctoral","Information and Communication Technologies","Jožef Stefan International Postgraduate School (IPS)","English"
"Doctoral","Nanosciences and Nanotechnologies","Jožef Stefan International Postgraduate School (IPS)","English"
"Doctoral","Sensor Technologies","Jožef Stefan International Postgraduate School (IPS)","English"
"Doctoral","Law","New University, European Faculty of Law","English"
"Doctoral","Real Estate Law and Management","New University, European Faculty of Law","English"
"Doctoral","International and diplomatic studies","New University, Faculty of Government and European Studies","English"
"Doctoral","Slovenian Studies III","New University, Faculty of Slovenian and International Studies","English"
"Doctoral","Mathematical Sciences","University of Primorska, Faculty of Mathematics, Natural Sciences and Information Technologies","English"
"Doctoral","Renewable Materials for Healthy Built Environments","University of Primorska, Faculty of Mathematics, Natural Sciences and Information Technologies","English"
"Doctoral","Computer Science","University of Primorska, Faculty of Mathematics, Natural Sciences and Information Technologies","English"
"Doctoral","Computer Science – international, joint study programme","University of Primorska, Faculty of Mathematics, Natural Sciences and Information Technologies","English"
"Doctoral","Conservation Biology","University of Primorska, Faculty of Mathematics, Natural Sciences and Information Technologies","English"
"Doctoral","Suicidology and Mental Health","University of Primorska, Faculty of Mathematics, Natural Sciences and Information Technologies","English"
"Doctoral","Management","University of Primorska, Faculty of Management","English"
"Doctoral","Biomedicine","University of Ljubljana","English"
"Doctoral","Statistics","University of Ljubljana","English"
"Doctoral","Environmental Protection","University of Ljubljana","English"
"Doctoral","Humanites and Social Sciences","University of Ljubljana, Academy of Music","English"
"Doctoral","Humanites and Social Sciences","University of Ljubljana, Academy of Theatre, Radio, Film and Television","English"
"Doctoral","Humanites and Social Sciences","University of Ljubljana, Academy of Fine Arts and Design","English"
"Doctoral","Biosciences","University of Ljubljana, Biotechnical Faculty","English"
"Doctoral","Economics and Business","University of Ljubljana, School of Economics and Business","English"
"Doctoral","Arhitecture","University of Ljubljana, Faculty of Architecture","English"
"Doctoral","Humanites and Social Sciences","University of Ljubljana, Faculty of Social Sciences","English"
"Doctoral","Built Environment","University of Ljubljana, Faculty of Civil and Geodetic Engineering","English"
"Doctoral","Chemistry Sciences","University of Ljubljana, Faculty of Chemistry and Chemical Technology","English"
"Doctoral","Computer and Information Science","University of Ljubljana, Faculty of Computer and Information Science","English"
"Doctoral","Humanites and Social Sciences","University of Ljubljana, Faculty of Social Work","English"
"Doctoral","Kinesiology","University of Ljubljana, Faculty of Sport","English"
"Doctoral","Governance and Economics in Public Sector","University of Ljubljana, Faculty of Public Administration","English"
