"Program_Title","Institution","Level","Link","Language","Country","ECTS","Free_Tuition_EU"
"Conducting","Universität für Musik und darstellende Kunst Graz","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/conducting/268-conducting-12-3-graz.en.html","German","Austria",NA,"Yes"
"Philosophy","Universität für Musik und darstellende Kunst Wien","PhD","https://www.studienwahl.at/studies/art-studies/phd/274-philosophy-4-3-wien.en.html","German","Austria",NA,"Yes"
"Philosophy","Universität Mozarteum Salzburg","PhD","https://www.studienwahl.at/studies/art-studies/phd/275-philosophy-4-3-salzburg.en.html","German","Austria",NA,"Yes"
"Scholarly Doctoral Programme","Universität für Musik und darstellende Kunst Graz","PhD","https://www.studienwahl.at/studies/art-studies/phd/276-scholarly-doctoral-programme-4-3-graz.en.html","German","Austria",NA,"Yes"
"Philosophy","Kunstuniversität Linz","PhD","https://www.studienwahl.at/studies/art-studies/phd/277-philosophy-4-3-linz.en.html","German","Austria",NA,"Yes"
"Electrical Engineering and Audio Engineering","Technische Universität Graz","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/electrical-engineering-sound-engineering/306-electrical-engineering-and-audio-engineering-2-3-graz.en.html","German","Austria",180,"Yes"
"Electrical Engineering and Audio Engineering","Technische Universität Graz","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/electrical-engineering-sound-engineering/307-electrical-engineering-and-audio-engineering-12-3-graz.en.html","German","Austria",NA,"Yes"
"Elementary Music and Movement Education","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/teacher-training-programmes/teacher-training-arts/music-and-movement-education/310-elementary-music-and-movement-education-12-3-salzburg.en.html","German","Austria",NA,"Yes"
"Elementary Music and Dance Education","Universität Mozarteum Salzburg","Bachelor","https://www.studienwahl.at/studies/teacher-training-programmes/teacher-training-arts/music-and-movement-education/311-elementary-music-and-dance-education-2-3-salzburg.en.html","German","Austria",180,"Yes"
"Elementary Music and Dance Education","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/teacher-training-programmes/teacher-training-arts/music-and-movement-education/312-elementary-music-and-dance-education-12-3-salzburg.en.html","German","Austria",NA,"Yes"
"Bassoon","Universität Mozarteum Salzburg","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/355-bassoon-2-3-salzburg.en.html","German","Austria",180,"Yes"
"Bassoon","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/356-bassoon-12-3-salzburg.en.html","German","Austria",NA,"Yes"
"Voice","Universität für Musik und darstellende Kunst Wien","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/416-voice-2-3-wien.en.html","German","Austria",180,"Yes"
"Voice","Universität Mozarteum Salzburg","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/417-voice-2-3-salzburg.en.html","German","Austria",180,"Yes"
"Voice","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/418-voice-12-3-salzburg.en.html","German","Austria",NA,"Yes"
"Voice","Universität für Musik und darstellende Kunst Graz","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/419-voice-2-3-graz.en.html","German","Austria",180,"Yes"
"Voice","Universität für Musik und darstellende Kunst Graz","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/420-voice-12-3-graz.en.html","German","Austria",NA,"Yes"
"Guitar","Universität Mozarteum Salzburg","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/string-instruments/441-guitar-2-3-salzburg.en.html","German","Austria",180,"Yes"
"Guitar","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/string-instruments/442-guitar-12-3-salzburg.en.html","German","Austria",NA,"Yes"
"Graphic Design and Photography","Kunstuniversität Linz","Bachelor","https://www.studienwahl.at/studies/art-studies/fine-arts-and-applied-arts/media-design/447-graphic-design-and-photography-2-3-linz.en.html","German","Austria",180,"Yes"
"Harp","Universität Mozarteum Salzburg","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/string-instruments/454-harp-2-3-salzburg.en.html","German","Austria",180,"Yes"
"Harp","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/string-instruments/455-harp-12-3-salzburg.en.html","German","Austria",NA,"Yes"
"Horn","Universität Mozarteum Salzburg","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/462-horn-2-3-salzburg.en.html","German","Austria",180,"Yes"
"Horn","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/463-horn-12-3-salzburg.en.html","German","Austria",NA,"Yes"
"Technical Sciences","Akademie der bildenden Künste Wien","PhD","https://www.studienwahl.at/studies/art-studies/doctoral-programmes/480-technical-sciences-4-3-wien.en.html","German","Austria",NA,"Yes"
"Advanced Materials Science","Technische Universität Graz","Master","https://www.studienwahl.at/studies/natural-sciences/chemistrybiology-studies/materials-sciences/2-advanced-materials-science-12-3-graz.en.html","German","Austria",NA,"Yes"
"Agricultural and Food Economy","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/agriculture/agriculture/5-agricultural-and-food-economy-12-3-wien.en.html","German","Austria",NA,"Yes"
"Agricultural Sciences","Universität für Bodenkultur Wien","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/agriculture/agriculture/6-agricultural-sciences-2-3-wien.en.html","German","Austria",180,"Yes"
"Alpine Natural Hazards / Watershed Regulation","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/agriculture/land-and-water-management/15-alpine-natural-hazards-watershed-regulation-12-3-wien.en.html","German","Austria",NA,"Yes"
