"Program_Title","Institution","Level","Link","Language","Country","ECTS","Free_Tuition_EU"
"Global China Studies, Elective study profile of International Relations","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/global-china-studies-elective-study-profile-of?filters=","English","Denmark",120,"Yes"
"Global Development","University of Copenhagen (UCPH)","Master","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/city-campus/global-development?filters=","English","Denmark",120,"Yes"
"Global Gender Studies, Elective study profile of International Relations","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/global-gender-studies-elective-study-profile-of?filters=","English","Denmark",120,"Yes"
"Global Health","University of Copenhagen (UCPH)","Master","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/city-campus/global-health?filters=","English","Denmark",120,"Yes"
"Global Logistics and Supply Chain Management","University of Southern Denmark (SDU)","Master","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/global-logistics-and-supply-chain-management?filters=","English","Denmark",120,"Yes"
"Global Marketing and Consumer Culture","University of Southern Denmark (SDU)","Master","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/global-marketing-and-consumer-culture?filters=","English","Denmark",120,"Yes"
"Graphic Communication Design","Royal Danish Academy -  Architecture, Design and Conservation","Master","https://studyindenmark.dk/portal/royal-danish-academy-architecture-design-and/copenhagen/graphic-communication-design?filters=","English","Denmark",120,"Yes"
"Graphic Design","Danish School of Media and Journalism (DMJX)","Other","https://studyindenmark.dk/portal/danish-school-of-media-and-journalism-dmjx/campus-copenhagen/graphic-design?filters=","English","Denmark",30,"Yes"
"Graphic Storytelling","VIA University College","Bachelor","https://studyindenmark.dk/portal/via-university-college/campus-viborg/graphic-storytelling?filters=","English","Denmark",240,"Yes"
"Health Tech Innovator","University of Southern Denmark (SDU)","Short-term","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/health-tech-innovator?filters=","English","Denmark",5,"Yes"
"Human Biology","University of Copenhagen (UCPH)","Master","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/human-biology?filters=","English","Denmark",120,"Yes"
"Human Nutrition","University of Copenhagen (UCPH)","Master","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/frederiksberg-campus/human-nutrition?filters=","English","Denmark",120,"Yes"
"Human Resource Management","University of Southern Denmark (SDU)","Master","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/human-resource-management?filters=","English","Denmark",120,"Yes"
"Human Security","Aarhus University (AU)","Master","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/human-security?filters=","English","Denmark",120,"Yes"
"Human-Centered Artifical Intelligence","Technical University of Denmark (DTU)","Master","https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/human-centered-artifical-intelligence?filters=","English","Denmark",120,"Yes"
"Immunology and Inflammation","University of Copenhagen (UCPH)","Master","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/immunology-and-inflammation?filters=","English","Denmark",120,"Yes"
"Indoor Environmental and Energy Engineering, MSc in Engineering","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/indoor-environmental-and-energy-engineering-msc-in?filters=","English","Denmark",120,"Yes"
"Industrial Design, MSc in Engineering","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/industrial-design-msc-in-engineering?filters=","English","Denmark",120,"Yes"
"Industrial Engineering and Management","Technical University of Denmark (DTU)","Master","https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/industrial-engineering-and-management?filters=","English","Denmark",120,"Yes"
"Informatics (available from September 2023)","International Business Academy (IBA)","Master","https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/informatics-available-from-september-2023?filters=","English","Denmark",60,"Yes"
"Information Science and Cultural Communication","University of Copenhagen (UCPH)","Master","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/south-campus/information-science-and-cultural-communication?filters=","English","Denmark",120,"Yes"
"Information Studies, MSc in Information Science","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/copenhagen/information-studies-msc-in-information-science?filters=","English","Denmark",120,"Yes"
"Innovation and Business Development","University of Southern Denmark (SDU)","Master","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/innovation-and-business-development?filters=","English","Denmark",120,"Yes"
"Innovation Management, Specialisation of Economics and Business Administration","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/sino-danish-center-beijing-china/innovation-management-specialisation-of-economics?filters=","English","Denmark",120,"Yes"
"Innovative Choir Leading","The Royal Academy of Music - Aarhus/Aalborg","Master","https://studyindenmark.dk/portal/the-royal-academy-of-music-aarhus-aalborg/aalborg-departement/innovative-choir-leading?filters=","English","Denmark",120,"Yes"
"Instrumental/Voice - Bachelor","The Royal Danish Academy of Music","Bachelor","https://studyindenmark.dk/portal/the-royal-danish-academy-of-music/study-programmes-within-music-and-music-pedagogy/instrumental-voice-bachelor?filters=","English","Denmark",180,"Yes"
"Instrumental/Voice - Master","The Royal Danish Academy of Music","Master","https://studyindenmark.dk/portal/the-royal-danish-academy-of-music/study-programmes-within-music-and-music-pedagogy/instrumental-voice-master?filters=","English","Denmark",120,"Yes"
"Integrated Food Studies","University of Copenhagen (UCPH)","Master","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/integrated-food-studies?filters=","English","Denmark",120,"Yes"
"Interactive Design","Danish School of Media and Journalism (DMJX)","Other","https://studyindenmark.dk/portal/danish-school-of-media-and-journalism-dmjx/campus-copenhagen/interactive-design?filters=","English","Denmark",30,"Yes"
"Intercultural Studies","Aarhus University (AU)","Master","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/intercultural-studies?filters=","English","Denmark",120,"Yes"
"International Bachelor in Natural Sciences","Roskilde University (RUC)","Bachelor","https://studyindenmark.dk/portal/roskilde-university-ruc/roskilde/international-bachelor-in-natural-sciences?filters=","English","Denmark",180,"Yes"
"International Bachelor in Social Sciences","Roskilde University (RUC)","Bachelor","https://studyindenmark.dk/portal/roskilde-university-ruc/roskilde/international-bachelor-in-social-sciences?filters=","English","Denmark",180,"Yes"
"International Business","International Business Academy (IBA)","Other","https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/international-business-34506?filters=","English","Denmark",60,"Yes"
"International Business (BSc)","Copenhagen Business School (CBS)","Bachelor","https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/international-business-bsc?filters=","English","Denmark",180,"Yes"
"International Business (e-learning)","International Business Academy (IBA)","Other","https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/international-business-e-learning?filters=","English","Denmark",60,"Yes"
"International Business (e-learning)","International Business Academy (IBA)","Master","https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/international-business-e-learning-21622?filters=","English","Denmark",90,"Yes"
"International Business Administration and Foreign Languages","University of Southern Denmark (SDU)","Bachelor","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/international-business-administration-and-foreign?filters=","English","Denmark",180,"Yes"
"International Business and Politics (BSc)","Copenhagen Business School (CBS)","Bachelor","https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/international-business-and-politics-bsc?filters=","English","Denmark",180,"Yes"
"International Business and Politics (MSc)","Copenhagen Business School (CBS)","Master","https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/international-business-and-politics-msc?filters=","English","Denmark",120,"Yes"
"International Business and Management","University of Southern Denmark (SDU)","Master","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/international-business-and-management?filters=","English","Denmark",120,"Yes"
"International Business and Marketing","University of Southern Denmark (SDU)","Master","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/international-business-and-marketing?filters=","English","Denmark",120,"Yes"
"International Business, Specialisation of Economics and Business Administration","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/international-business-specialisation-of-economics?filters=","English","Denmark",120,"Yes"
"International Honours Degree in Teaching","University College Absalon","Bachelor","https://studyindenmark.dk/portal/university-college-absalon/vordingborg/international-honours-degree-in-teaching?filters=","English","Denmark",270,"Yes"
"International Hospitality Management (exchange programme)","University College of Northern Denmark (UCN)","Master","https://studyindenmark.dk/portal/university-college-of-northern-denmark-ucn/ucn-business/international-hospitality-management-exchange?filters=","English","Denmark",30,"Yes"
"International Politics and Governance","Roskilde University (RUC)","Master","https://studyindenmark.dk/portal/roskilde-university-ruc/roskilde/international-politics-and-governance?filters=","English","Denmark",NA,"Yes"
"International Relations, MSc in Social Sciences","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/international-relations-msc-in-social-sciences?filters=","English","Denmark",120,"Yes"
"International Sales and Marketing (not available in English from September 2022)","International Business Academy (IBA)","Master","https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/international-sales-and-marketing-not-available-in?filters=","English","Denmark",90,"Yes"
"International Sales and Marketing & Business Management and Marketing (Double Degree) (not available in English from September 2023)","International Business Academy (IBA)","Master","https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/international-sales-and-marketing-business?filters=","English","Denmark",150,"Yes"
"International Security and Law","University of Southern Denmark (SDU)","Master","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/international-security-and-law?filters=","English","Denmark",120,"Yes"
"International Shipping and Trade (BSc)","Copenhagen Business School (CBS)","Bachelor","https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/international-shipping-and-trade-bsc?filters=","English","Denmark",180,"Yes"
"Introduction to Biologically-inspired Robotics and Learning","University of Southern Denmark (SDU)","Short-term","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/introduction-to-biologically-inspired-robotics-and?filters=","English","Denmark",5,"Yes"
"Introduction to Nano-optics","University of Southern Denmark (SDU)","Short-term","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/introduction-to-nano-optics?filters=","English","Denmark",5,"Yes"
"Introduction to R","University of Southern Denmark (SDU)","Short-term","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/introduction-to-r?filters=","English","Denmark",5,"Yes"
"IT - Product Design","University of Southern Denmark (SDU)","Master","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/kolding/it-product-design?filters=","English","Denmark",NA,"Yes"
"IT and Cognition","University of Copenhagen (UCPH)","Master","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/south-campus/it-and-cognition?filters=","English","Denmark",120,"Yes"
"IT Product Development","Aarhus University (AU)","Bachelor","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/it-product-development-39686?filters=","English","Denmark",180,"Yes"
"IT Product Development","Aarhus University (AU)","Master","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/it-product-development?filters=","English","Denmark",120,"Yes"
"Jazz/pop","Danish National Academy of Music","Diploma","https://studyindenmark.dk/portal/danish-national-academy-of-music/odense/jazz-pop-34370?filters=","English","Denmark",120,"Yes"
"Jazz/pop","Danish National Academy of Music","Master","https://studyindenmark.dk/portal/danish-national-academy-of-music/odense/jazz-pop-34367?filters=","English","Denmark",120,"Yes"
"Jazz/pop","Danish National Academy of Music","Bachelor","https://studyindenmark.dk/portal/danish-national-academy-of-music/odense/jazz-pop?filters=","English","Denmark",180,"Yes"
"Jazz/Pop Drum and Dance (Aarhus)","The Royal Academy of Music - Aarhus/Aalborg","Bachelor","https://studyindenmark.dk/portal/the-royal-academy-of-music-aarhus-aalborg/aarhus-departement/jazz-pop-drum-and-dance-aarhus?filters=","English","Denmark",180,"Yes"
"Jazz/Pop Music (Aalborg)","The Royal Academy of Music - Aarhus/Aalborg","Master","https://studyindenmark.dk/portal/the-royal-academy-of-music-aarhus-aalborg/aalborg-departement/jazz-pop-music-aalborg?filters=","English","Denmark",120,"Yes"
"Jazz/Pop Musician/Music Teacher (Aarhus)","The Royal Academy of Music - Aarhus/Aalborg","Master","https://studyindenmark.dk/portal/the-royal-academy-of-music-aarhus-aalborg/aarhus-departement/jazz-pop-musician-music-teacher-aarhus?filters=","English","Denmark",120,"Yes"
"Jewellery, Technology and Business","KEA - Copenhagen School of Design and Technology","Bachelor","https://studyindenmark.dk/portal/kea-copenhagen-school-of-design-and-technology/guldbergsgade/jewellery-technology-and-business?filters=","English","Denmark",210,"Yes"
"Journalism, Media and Globalisation (Erasmus Mundus)","Aarhus University (AU)","Master","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/journalism-media-and-globalisation-erasmus-mundus?filters=","English","Denmark",120,"Yes"
"Journalism, Multimedia and World Politics","Danish School of Media and Journalism (DMJX)","Other","https://studyindenmark.dk/portal/danish-school-of-media-and-journalism-dmjx/campus-aarhus/journalism-multimedia-and-world-politics?filters=","English","Denmark",30,"Yes"
"Landscape Architecture","University of Copenhagen (UCPH)","Master","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/frederiksberg-campus/landscape-architecture?filters=","English","Denmark",120,"Yes"
"Lighting Design, MSc","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/copenhagen/lighting-design-msc?filters=","English","Denmark",120,"Yes"
"Linguistics","Aarhus University (AU)","Master","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/linguistics?filters=","English","Denmark",120,"Yes"
"Management 1:1 DTU-TUM","Technical University of Denmark (DTU)","Master","https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/management-1-1-dtu-tum?filters=","English","Denmark",120,"Yes"
"Management Accounting","University of Southern Denmark (SDU)","Master","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/management-accounting?filters=","English","Denmark",120,"Yes"
"Management Engineering","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/management-engineering?filters=","English","Denmark",120,"Yes"
"Management of Innovation and Business Development (MSc)","Copenhagen Business School (CBS)","Master","https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/management-of-innovation-and-business-development?filters=","English","Denmark",120,"Yes"
"Manufacturing Technology, Specialisation of Mechanical Engineering","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/manufacturing-technology-specialisation-of?filters=","English","Denmark",120,"Yes"
"Market and Management Anthropology","University of Southern Denmark (SDU)","Master","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/market-and-management-anthropology?filters=","English","Denmark",180,"Yes"
"Marketing and Sales, Specialisation of Economics and Business Administration","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/marketing-and-sales-specialisation-of-economics?filters=","English","Denmark",120,"Yes"
"Marketing Management (exchange programme)","University College of Northern Denmark (UCN)","Master","https://studyindenmark.dk/portal/university-college-of-northern-denmark-ucn/ucn-business/marketing-management-exchange-programme?filters=","English","Denmark",NA,"Yes"
"Marketing Management (not available in English from September 2022)","International Business Academy (IBA)","Master","https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/marketing-management-not-available-in-english-from?filters=","English","Denmark",120,"Yes"
"Marketing Social Media, and Digitalization","University of Southern Denmark (SDU)","Master","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/esbjerg/marketing-social-media-and-digitalization?filters=","English","Denmark",120,"Yes"
"Master of Economics and Business Administration – Sustainability Management","University of Southern Denmark (SDU)","Master","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/esbjerg/master-of-economics-and-business-administration?filters=","English","Denmark",120,"Yes"
"Materials and Manufacturing Engineering","Technical University of Denmark (DTU)","Master","https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/materials-and-manufacturing-engineering?filters=","English","Denmark",120,"Yes"
"Materials Technology, Specialisation of Materials and Nanotechnology","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/materials-technology-specialisation-of-materials?filters=","English","Denmark",120,"Yes"
"Mathematical Bioscience","Roskilde University (RUC)","Master","https://studyindenmark.dk/portal/roskilde-university-ruc/roskilde/mathematical-bioscience?filters=","English","Denmark",NA,"Yes"
"Mathematical Modelling and Computation 1:1 DTU-KAIST Double Degree","Technical University of Denmark (DTU)","Master","https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/mathematical-modelling-and-computation-1-1-dtu?filters=","English","Denmark",120,"Yes"
"Mathematical Modelling and Computation","Technical University of Denmark (DTU)","Master","https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/mathematical-modelling-and-computation?filters=","English","Denmark",120,"Yes"
"Mathematics","Aarhus University (AU)","Master","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/mathematics?filters=","English","Denmark",120,"Yes"
"Mathematics","University of Southern Denmark (SDU)","Master","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/mathematics?filters=","English","Denmark",120,"Yes"
"Mathematics","University of Copenhagen (UCPH)","Master","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/mathematics?filters=","English","Denmark",120,"Yes"
"Mathematics - Economics","Aarhus University (AU)","Master","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/mathematics-economics?filters=","English","Denmark",120,"Yes"
"Mathematics - Economics","University of Copenhagen (UCPH)","Master","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/mathematics-economics?filters=","English","Denmark",120,"Yes"
"MBA in General Management","International Business Academy (IBA)","Master","https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/mba-in-general-management?filters=","English","Denmark",90,"Yes"
"Mechanical Engineering","Technical University of Denmark (DTU)","Master","https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/mechanical-engineering?filters=","English","Denmark",120,"Yes"
"Mechanical Engineering","Aarhus University (AU)","Master","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/mechanical-engineering?filters=","English","Denmark",120,"Yes"
"Mechanical Engineering (BEng)","University of Southern Denmark (SDU)","Bachelor","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/mechanical-engineering-beng?filters=","English","Denmark",210,"Yes"
"Mechanical Engineering (BSc)","University of Southern Denmark (SDU)","Bachelor","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/mechanical-engineering-bsc?filters=","English","Denmark",180,"Yes"
"Mechanical Engineering (MSc)","University of Southern Denmark (SDU)","Master","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/mechanical-engineering-msc?filters=","English","Denmark",120,"Yes"
"Mechanical Engineering 1:1 DTU-KAIST Double Degree","Technical University of Denmark (DTU)","Master","https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/mechanical-engineering-1-1-dtu-kaist-double-degree?filters=","English","Denmark",120,"Yes"
"Mechatronic Control Engineering, Specialisation of Energy Engineering","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/mechatronic-control-engineering-specialisation-of?filters=","English","Denmark",120,"Yes"
"Mechatronics (BEng)","University of Southern Denmark (SDU)","Bachelor","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/mechatronics-beng?filters=","English","Denmark",210,"Yes"
"Mechatronics (BSc)","University of Southern Denmark (SDU)","Bachelor","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/mechatronics-bsc?filters=","English","Denmark",180,"Yes"
"Mechatronics Engineering (MSc)","University of Southern Denmark (SDU)","Master","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/mechatronics-engineering-msc?filters=","English","Denmark",120,"Yes"
"Media and Communication","Roskilde University (RUC)","Master","https://studyindenmark.dk/portal/roskilde-university-ruc/roskilde/media-and-communication?filters=","English","Denmark",NA,"Yes"
"Media Production and Management","Danish School of Media and Journalism (DMJX)","Master","https://studyindenmark.dk/portal/danish-school-of-media-and-journalism-dmjx/campus-copenhagen/media-production-and-management?filters=","English","Denmark",30,"Yes"
"Medialogy, MSc","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg-copenhagen/medialogy-msc?filters=","English","Denmark",120,"Yes"
"Medical Biotechnology, Specialisation of Biotechnology","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/medical-biotechnology-specialisation-of?filters=","English","Denmark",120,"Yes"
"Medical Devices and Imaging","University of Southern Denmark (SDU)","Short-term","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/medical-devices-and-imaging?filters=","English","Denmark",5,"Yes"
"Medicinal Chemistry","University of Copenhagen (UCPH)","Master","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/medicinal-chemistry?filters=","English","Denmark",120,"Yes"
"Medicinal Chemistry","Aarhus University (AU)","Master","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/medicinal-chemistry?filters=","English","Denmark",120,"Yes"
"Medicinal Chemistry","University of Southern Denmark (SDU)","Master","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/medicinal-chemistry?filters=","English","Denmark",120,"Yes"
"Medicine with Industrial Specialisation, MSc","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/medicine-with-industrial-specialisation-msc?filters=","English","Denmark",120,"Yes"
"Midwifery (exchange programme)","University College of Northern Denmark (UCN)","Other","https://studyindenmark.dk/portal/university-college-of-northern-denmark-ucn/sundhedsuddannelserne/midwifery-exchange-programme?filters=","English","Denmark",NA,"Yes"
"Molecular Biology","Aarhus University (AU)","Master","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/molecular-biology?filters=","English","Denmark",120,"Yes"
"Molecular Biomedicine","University of Copenhagen (UCPH)","Master","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/molecular-biomedicine?filters=","English","Denmark",120,"Yes"
"Molecular Nutrition and Food Technology","Aarhus University (AU)","Master","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/molecular-nutrition-and-food-technology?filters=","English","Denmark",120,"Yes"
"MSc in Business and Organisational Psychology","International Business Academy (IBA)","Master","https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/msc-in-business-and-organisational-psychology?filters=","English","Denmark",90,"Yes"
"MSc in International Business","International Business Academy (IBA)","Master","https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/msc-in-international-business?filters=","English","Denmark",90,"Yes"
"Multimedia Design","Business Academy Aarhus","Other","https://studyindenmark.dk/portal/business-academy-aarhus/sonderhoj-7g/multimedia-design?filters=","English","Denmark",120,"Yes"
"Multimedia Design","KEA - Copenhagen School of Design and Technology","Other","https://studyindenmark.dk/portal/kea-copenhagen-school-of-design-and-technology/guldbergsgade/multimedia-design?filters=","English","Denmark",120,"Yes"
"Multimedia Design (Esbjerg)","Business Academy SouthWest","Other","https://studyindenmark.dk/portal/business-academy-southwest/esbjerg/multimedia-design-esbjerg?filters=","English","Denmark",120,"Yes"
"Multimedia Design (not available in English from September 2022)","International Business Academy (IBA)","Other","https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/multimedia-design-not-available-in-english-from?filters=","English","Denmark",120,"Yes"
"Music Teaching","The Royal Danish Academy of Music","Bachelor","https://studyindenmark.dk/portal/the-royal-danish-academy-of-music/study-programmes-within-music-and-music-pedagogy/music-teaching?filters=","English","Denmark",180,"Yes"
"Musician and pedagogical developer","Danish National Academy of Music","Master","https://studyindenmark.dk/portal/danish-national-academy-of-music/esbjerg/musician-and-pedagogical-developer-33772?filters=","English","Denmark",120,"Yes"
"Musician and pedagogical developer","Danish National Academy of Music","Bachelor","https://studyindenmark.dk/portal/danish-national-academy-of-music/esbjerg/musician-and-pedagogical-developer?filters=","English","Denmark",180,"Yes"
"Nanobiotechnology, MSc in Engineering","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/nanobiotechnology-msc-in-engineering?filters=","English","Denmark",120,"Yes"
"Nanomaterials and Nanophysics, Specialisation of Materials and Nanotechnology","Aalborg University (AAU)","Master","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/nanomaterials-and-nanophysics-specialisation-of?filters=","English","Denmark",120,"Yes"
"Nanoscience","Aarhus University (AU)","Master","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/nanoscience?filters=","English","Denmark",120,"Yes"
"Nanoscience","University of Copenhagen (UCPH)","Master","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/nanoscience?filters=","English","Denmark",120,"Yes"
"Nanoscience and Technology","University of Copenhagen (UCPH)","Master","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/sino-danish-center-beijing-china/nanoscience-and-technology?filters=","English","Denmark",120,"Yes"
"Narrative Medicine","University of Southern Denmark (SDU)","Master","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/narrative-medicine?filters=","English","Denmark",5,"Yes"
"Nature Management","University of Copenhagen (UCPH)","Master","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/frederiksberg-campus/nature-management?filters=","English","Denmark",120,"Yes"
"Neuroscience","University of Copenhagen (UCPH)","Master","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/neuroscience?filters=","English","Denmark",120,"Yes"
"Nordic Master in Aquatic Food Production","Technical University of Denmark (DTU)","Master","https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/nordic-master-in-aquatic-food-production?filters=","English","Denmark",120,"Yes"
"Nordic Master in Cold Climate Engineering (N5T)","Technical University of Denmark (DTU)","Master","https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/nordic-master-in-cold-climate-engineering-n5t?filters=","English","Denmark",120,"Yes"
"Nordic Master in Environmental Engineering (N5T)","Technical University of Denmark (DTU)","Master","https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/nordic-master-in-environmental-engineering-n5t?filters=","English","Denmark",120,"Yes"
"Nordic Master in Folk Music","Danish National Academy of Music","Master","https://studyindenmark.dk/portal/danish-national-academy-of-music/esbjerg/nordic-master-in-folk-music?filters=","English","Denmark",120,"Yes"
"Nordic Master in Innovative Sustainable Energy Engineering (N5T)","Technical University of Denmark (DTU)","Master","https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/nordic-master-in-innovative-sustainable-energy?filters=","English","Denmark",120,"Yes"
"Nordic Master in Jazz (NOMAZZ)","The Royal Academy of Music - Aarhus/Aalborg","Master","https://studyindenmark.dk/portal/the-royal-academy-of-music-aarhus-aalborg/aarhus-departement/nordic-master-in-jazz-nomazz?filters=","English","Denmark",120,"Yes"
"Nordic Master in Maritime Engineering (N5T)","Technical University of Denmark (DTU)","Master","https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/nordic-master-in-maritime-engineering-n5t?filters=","English","Denmark",120,"Yes"
"Nordic Master in Polymer Technology (N5T)","Technical University of Denmark (DTU)","Master","https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/nordic-master-in-polymer-technology-n5t?filters=","English","Denmark",120,"Yes"
"Nordic Urban Planning Studies","Roskilde University (RUC)","Master","https://studyindenmark.dk/portal/roskilde-university-ruc/roskilde/nordic-urban-planning-studies?filters=","English","Denmark",NA,"Yes"
"Nursing","University College Copenhagen","Other","https://studyindenmark.dk/portal/university-college-copenhagen/campus-norrebro-or-campus-north-zealand/nursing?filters=","English","Denmark",NA,"Yes"
