"Title","University_Name","Program_Type","Location","Detail_Link","Area","Language"
"Electrical Engineering and Audio Engineering","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/electrical-engineering-sound-engineering/307-electrical-engineering-and-audio-engineering-12-3-graz.en.html","Art Studies","German"
"Elementary Music and Movement Education","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/teacher-training-programmes/teacher-training-arts/music-and-movement-education/310-elementary-music-and-movement-education-12-3-salzburg.en.html","Art Studies","German"
"Elementary Music and Dance Education","Universität Mozarteum Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/teacher-training-programmes/teacher-training-arts/music-and-movement-education/311-elementary-music-and-dance-education-2-3-salzburg.en.html","Art Studies","German"
"Elementary Music and Dance Education","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/teacher-training-programmes/teacher-training-arts/music-and-movement-education/312-elementary-music-and-dance-education-12-3-salzburg.en.html","Art Studies","German"
"Bassoon","Universität Mozarteum Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/355-bassoon-2-3-salzburg.en.html","Art Studies","German"
"Bassoon","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/356-bassoon-12-3-salzburg.en.html","Art Studies","German"
"Voice","Universität für Musik und darstellende Kunst Wien","Bachelor","Wien","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/416-voice-2-3-wien.en.html","Art Studies","German"
"Voice","Universität Mozarteum Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/417-voice-2-3-salzburg.en.html","Art Studies","German"
"Voice","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/418-voice-12-3-salzburg.en.html","Art Studies","German"
"Voice","Universität für Musik und darstellende Kunst Graz","Bachelor","Graz","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/419-voice-2-3-graz.en.html","Art Studies","German"
"Voice","Universität für Musik und darstellende Kunst Graz","Master","Graz","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/420-voice-12-3-graz.en.html","Art Studies","German"
"Guitar","Universität Mozarteum Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/string-instruments/441-guitar-2-3-salzburg.en.html","Art Studies","German"
"Guitar","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/string-instruments/442-guitar-12-3-salzburg.en.html","Art Studies","German"
"Graphic Design and Photography","Kunstuniversität Linz","Bachelor","Linz","https://www.studienwahl.at/studies/art-studies/fine-arts-and-applied-arts/media-design/447-graphic-design-and-photography-2-3-linz.en.html","Art Studies","German"
"Harp","Universität Mozarteum Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/string-instruments/454-harp-2-3-salzburg.en.html","Art Studies","German"
"Harp","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/string-instruments/455-harp-12-3-salzburg.en.html","Art Studies","German"
"Horn","Universität Mozarteum Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/462-horn-2-3-salzburg.en.html","Art Studies","German"
"Horn","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/463-horn-12-3-salzburg.en.html","Art Studies","German"
"Technical Sciences","Akademie der bildenden Künste Wien","PhD","Wien","https://www.studienwahl.at/studies/art-studies/doctoral-programmes/480-technical-sciences-4-3-wien.en.html","Art Studies","German"
"Advanced Materials Science","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/natural-sciences/chemistrybiology-studies/materials-sciences/2-advanced-materials-science-12-3-graz.en.html","Engineering Sciences","German"
"Agricultural and Food Economy","Universität für Bodenkultur Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/agriculture/agriculture/5-agricultural-and-food-economy-12-3-wien.en.html","Engineering Sciences","German"
"Agricultural Sciences","Universität für Bodenkultur Wien","Bachelor","Wien","https://www.studienwahl.at/studies/engineering-sciences/agriculture/agriculture/6-agricultural-sciences-2-3-wien.en.html","Engineering Sciences","German"
"Alpine Natural Hazards / Watershed Regulation","Universität für Bodenkultur Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/agriculture/land-and-water-management/15-alpine-natural-hazards-watershed-regulation-12-3-wien.en.html","Engineering Sciences","German"
"Applied Geosciences","Montanuniversität Leoben","Bachelor","Leoben","https://www.studienwahl.at/studies/engineering-sciences/mining-sciences/applied-geosciences/33-applied-geosciences-2-3-leoben.en.html","Engineering Sciences","German"
"Applied Geosciences","Montanuniversität Leoben","Master","Leoben","https://www.studienwahl.at/studies/engineering-sciences/mining-sciences/applied-geosciences/34-applied-geosciences-e-12-3-leoben.en.html","Engineering Sciences","English"
"Informatics","Universität Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/engineering-sciences/computer-sciences/computer-sciences/35-informatics-2-3-salzburg.en.html","Engineering Sciences","German"
"Informatics","Universität Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/engineering-sciences/computer-sciences/computer-sciences/36-informatics-12-3-salzburg.en.html","Engineering Sciences","German"
"Agricultural Crop Sciences","Universität für Bodenkultur Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/agriculture/agriculture/44-agricultural-crop-sciences-12-3-wien.en.html","Engineering Sciences","German"
"Architecture","Universität Innsbruck","Bachelor","Innsbruck","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/60-architecture-2-3-innsbruck.en.html","Engineering Sciences","German"
"Architecture","Universität Innsbruck","Master","Innsbruck","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/61-architecture-12-3-innsbruck.en.html","Engineering Sciences","German"
"Architecture","Technische Universität Wien","Bachelor","Wien","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/62-architecture-2-3-wien.en.html","Engineering Sciences","German"
"Architecture","Technische Universität Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/63-architecture-12-3-wien.en.html","Engineering Sciences","German"
"Architecture","Technische Universität Graz","Bachelor","Graz","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/64-architecture-2-3-graz.en.html","Engineering Sciences","German"
"Architecture","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/65-architecture-12-3-graz.en.html","Engineering Sciences","German"
"Architecture","Akademie der bildenden Künste Wien","Bachelor","Wien","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/66-architecture-2-3-wien.en.html","Engineering Sciences","German"
"Architecture","Akademie der bildenden Künste Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/67-architecture-12-3-wien.en.html","Engineering Sciences","German"
"Architecture","Universität für angewandte Kunst Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/68-architecture-e-12-3-wien.en.html","Engineering Sciences","English"
"Architecture","Kunstuniversität Linz","Bachelor","Linz","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/69-architecture-2-3-linz.en.html","Engineering Sciences","German"
"Architecture","Kunstuniversität Linz","Master","Linz","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/70-architecture-12-3-linz.en.html","Engineering Sciences","German"
"Civil and Environmental Engineering","Universität Innsbruck","Bachelor","Innsbruck","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/82-civil-and-environmental-engineering-2-3-innsbruck.en.html","Engineering Sciences","German"
"Civil Engineering","Universität Innsbruck","Master","Innsbruck","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/83-civil-engineering-12-3-innsbruck.en.html","Engineering Sciences","German"
"Civil Engineering","Technische Universität Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/86-civil-engineering-12-3-wien.en.html","Engineering Sciences","German"
"Civil Engineering","Technische Universität Wien","Bachelor","Wien","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/87-civil-engineering-2-3-wien.en.html","Engineering Sciences","German"
"Geotechnical and Hydraulic Engineering","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/88-geotechnical-and-hydraulic-engineering-e-12-3-graz.en.html","Engineering Sciences","English"
"Civil Engineering Sciences and Structural Engineering","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/89-civil-engineering-sciences-and-structural-engineering-12-3-graz.en.html","Engineering Sciences","German"
"Civil Engineering Sciences – Infrastructure","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/90-civil-engineering-sciences-infrastructure-12-3-graz.en.html","Engineering Sciences","German"
"Civil Engineering and Construction Management","Technische Universität Graz","Bachelor","Graz","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/91-civil-engineering-and-construction-management-2-3-graz.en.html","Engineering Sciences","German"
"Artificial Intelligence","Universität Linz","Master","Linz","https://www.studienwahl.at/studies/engineering-sciences/108-artificial-intelligence-e-12-3-linz.en.html","Engineering Sciences","English"
"Biomedical Engineering","Technische Universität Graz","Bachelor","Graz","https://www.studienwahl.at/studies/medicinehealth/biomedicine/biomedical-engineering/120-biomedical-engineering-2-3-graz.en.html","Engineering Sciences","German"
"Biomedical Engineering","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/medicinehealth/biomedicine/biomedical-engineering/121-biomedical-engineering-e-12-3-graz.en.html","Engineering Sciences","English"
"Biomolecular Technology of Proteins","Universität für Bodenkultur Wien","PhD","Wien","https://www.studienwahl.at/studies/engineering-sciences/phd/124-biomolecular-technology-of-proteins-4-3-wien.en.html","Engineering Sciences","German"
"Biophysics","Universität Linz","Master","Linz","https://www.studienwahl.at/studies/engineering-sciences/biotechnology/125-biophysics-e-12-3-linz.en.html","Engineering Sciences","English"
