"Title","University","Degree","Duration","Tuition","Link","Language"
"Physiotherapy","Lithuanian University of Health Sciences","Bachelor's studies (university)",4,4108,"https://studyin.lt/programs/physiotherapy-3/","English"
"Marine Electrical and Electronic Engineering","Lithuanian Maritime Academy","Bachelor's studies (college)",3.5,3120,"https://studyin.lt/programs/marine-engineering/","English"
"Marine Navigation","Lithuanian Maritime Academy","Bachelor's studies (college)",4,3120,"https://studyin.lt/programs/marine-navigation/","English"
"Child Welfare and Social Security (Only in the Lithuanian language)","Kolpingo kolegija / Kolping Higher Education Institution","Bachelor's studies (college)",3,2600,"https://studyin.lt/programs/child-welfare-and-social-security/","English"
"Social Work Management (2025 intake)","Kolpingo kolegija / Kolping Higher Education Institution","Bachelor's studies (college)",3,2600,"https://studyin.lt/programs/social-work-management/","English"
"Philosophy","European Humanities University","Doctoral studies",4,3400,"https://studyin.lt/programs/philosophy/","English"
"Public Policy","European Humanities University","Master‘s studies",1.5,3500,"https://studyin.lt/programs/public-policy/","English"
"Cultural Heritage Development","European Humanities University","Master‘s studies",1.5,3500,"https://studyin.lt/programs/cultural-heritage-development/","English"
"Visual Plastic Art","European Humanities University","Master‘s studies",2,3700,"https://studyin.lt/programs/visual-plastic-art/","English"
"World Politics and Economics","European Humanities University","Bachelor's studies (university)",4,3100,"https://studyin.lt/programs/world-politics-and-economics-ehu/","English"
"International Law and Law of the European Union","European Humanities University","Integrated studies",5,3200,"https://studyin.lt/programs/international-law-and-law-of-the-european-union/","English"
"Visual Design","European Humanities University","Bachelor's studies (university)",4,3200,"https://studyin.lt/programs/visual-design/","English"
"European Heritage","European Humanities University","Bachelor's studies (university)",4,3000,"https://studyin.lt/programs/european-heritage/","English"
"Game Development","Vilnius Business College / Higher Education Institution","Bachelor's studies (college)",3,3400,"https://studyin.lt/programs/game-development/","English"
"Programming and Internet Technologies","Vilnius Business College / Higher Education Institution","Bachelor's studies (college)",3,3400,"https://studyin.lt/programs/programming-and-internet-technologies/","English"
"Business Management and Marketing","Vilnius Business College / Higher Education Institution","Bachelor's studies (college)",3,3100,"https://studyin.lt/programs/business-management-and-marketing/","English"
"Software Engineering","Vilniaus kolegija / Higher Education Institution","Bachelor's studies (college)",3.5,0,"https://studyin.lt/programs/software-engineering/","English"
"Business Economics","Vilniaus kolegija / Higher Education Institution","Bachelor's studies (college)",3,0,"https://studyin.lt/programs/business-economics/","English"
"Banking","Vilniaus kolegija / Higher Education Institution","Bachelor's studies (college)",3,0,"https://studyin.lt/programs/banking/","English"
"Tourism Management","Vilniaus kolegija / Higher Education Institution","Bachelor's studies (college)",3,0,"https://studyin.lt/programs/tourism-management/","English"
"Hotel and Restaurant Business","Vilniaus kolegija / Higher Education Institution","Bachelor's studies (college)",3,0,"https://studyin.lt/programs/hotel-and-restaurant-business/","English"
"Creativity and Business Innovations","Vilniaus kolegija / Higher Education Institution","Bachelor's studies (college)",3,0,"https://studyin.lt/programs/creativity-and-business-innovations/","English"
"Economics and Finance","Vytautas Magnus University","Bachelor's studies (university)",3,2954,"https://studyin.lt/programs/economics-and-finance/","English"
"Sustainable Engineering","Vytautas Magnus University","Bachelor's studies (university)",4,3836,"https://studyin.lt/programs/sustainable-energy/","English"
"9th PhD Summer School, 2-6 June, 2025","Kaunas University of Technology","Summer schools",0,420,"https://studyin.lt/programs/7th-phd-summer-school/","English"
"Social Work","Utenos kolegija / Higher Education Institution","Bachelor's studies (college)",3,2224,"https://studyin.lt/programs/social-work-3/","English"
"Business Management and Innovations","Utenos kolegija / Higher Education Institution","Bachelor's studies (college)",3,2224,"https://studyin.lt/programs/business-management-4/","English"
"Accounting","Utenos kolegija / Higher Education Institution","Bachelor's studies (college)",3,1560,"https://studyin.lt/programs/accounting/","English"
"Law","Utenos kolegija / Higher Education Institution","Bachelor's studies (college)",3,1560,"https://studyin.lt/programs/law-2/","English"
"Cosmetology","Utenos kolegija / Higher Education Institution","Bachelor's studies (college)",3,1980,"https://studyin.lt/programs/beauty-therapy/","English"
