"University","Programme","City","Study_Level","Study_Type","Study_Language","Price"
"ISTANBUL UNIVERSITY","BUSINESS ADMINISTRATION PR. (ENGLISH) (INTERNATIONAL DUAL DIPLOMA PROGRAM - ULUSLARARASI SARAYBOSNA ÜNİVERSİTESİ) (PAID)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH",""
"ISTANBUL UNIVERSITY","JOURNALISM PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","25.000,00  TL"
"ISTANBUL UNIVERSITY","PUBLIC RELATIONS AND PROMOTION PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","25.000,00  TL"
"ISTANBUL UNIVERSITY","RADIO, TELEVISION AND CINEMA PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","25.000,00  TL"
"ISTANBUL UNIVERSITY","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE PR. (ENGLISH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH",""
"ISTANBUL UNIVERSITY","COMPUTER ENGINEERING PR. (ENGLISH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH","50.000,00  TL"
"ISTANBUL UNIVERSITY","COMPUTER ENGINEERING PR. (ENGLISH) (INTERNATIONAL DUAL DIPLOMA PROGRAM - ULUSLARARASI SARAYBOSNA ÜNİVERSİTESİ) (PAID)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH",""
"ISTANBUL UNIVERSITY","DENTISTRY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","100.000,00  TL"
"ISTANBUL UNIVERSITY","DENTISTRY PR. (ENGLISH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH","100.000,00  TL"
"ISTANBUL UNIVERSITY","BUSINESS ADMINISTRATION PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH (30%)","25.000,00  TL"
"ISTANBUL UNIVERSITY","ECONOMETRICS PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","25.000,00  TL"
"ISTANBUL UNIVERSITY","ECONOMICS PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","25.000,00  TL"
"ISTANBUL UNIVERSITY","ECONOMICS PR. (ENGLISH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH","25.000,00  TL"
"ISTANBUL UNIVERSITY","ECONOMICS PR. (ENGLISH) (INTERNATIONAL DUAL DIPLOMA PROGRAM - ULUSLARARASI SARAYBOSNA ÜNİVERSİTESİ) (PAID)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH",""
"ISTANBUL UNIVERSITY","LABOR ECONOMICS AND INDUSTRIAL RELATIONS PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH (30%)","25.000,00  TL"
"ISTANBUL UNIVERSITY","MANAGEMENT INFORMATION SYSTEMS PR. (ENGLISH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH","25.000,00  TL"
"ISTANBUL UNIVERSITY","POLITICAL SCIENCE AND INTERNATIONAL RELATIONS PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH (30%)","25.000,00  TL"
"ISTANBUL UNIVERSITY","POLITICAL SCIENCE AND INTERNATIONAL RELATIONS PR. (ENGLISH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH","25.000,00  TL"
"ISTANBUL UNIVERSITY","PUBLIC FINANCE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH (30%)","25.000,00  TL"
"ISTANBUL UNIVERSITY","TOURISM MANAGEMENT - TOURISM ADMINISTRATION PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH (30%)","25.000,00  TL"
"ISTANBUL UNIVERSITY","LAW PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","3,13  TL"
"ISTANBUL UNIVERSITY","LAW PR. (INTERNATIONAL DUAL DIPLOMA PROGRAM - HAMBURG ÜNİVERSİTESİ) (PAID)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","GERMAN (%30)",""
"ISTANBUL UNIVERSITY","LAW PR. (INTERNATIONAL DUAL DIPLOMA PROGRAM - ULUSLARARASI SARAYBOSNA ÜNİVERSİTESİ) (PAID)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH (30%)",""
