Institution,latitude,longitude
Universität für angewandte Kunst Wien,NA,NA
Universität Mozarteum Salzburg,NA,NA
"Universität Mozarteum Salzburg, Verbundregion Mitte",NA,NA
"Kunstuniversität Linz, Verbundregion Mitte",NA,NA
Universität für Musik und darstellende Kunst Wien,NA,NA
Akademie der bildenden Künste Wien,NA,NA
Universität für Musik und darstellende Kunst Graz,NA,NA
Kunstuniversität Linz,NA,NA
Technische Universität Graz,NA,NA
Universität für Bodenkultur Wien,NA,NA
Montanuniversität Leoben,NA,NA
Universität Salzburg,NA,NA
Universität Innsbruck,NA,NA
Technische Universität Wien,NA,NA
Universität Linz,NA,NA
Universität Wien,NA,NA
Universität Klagenfurt,NA,NA
Medizinische Universität Wien,NA,NA
"Technische Universität Graz, Universität Graz",NA,NA
Veterinärmedizinische Universität Wien,NA,NA
Hochschule für Angewandte Wissenschaften Burgenland,NA,NA
Fachhochschule Kärnten,NA,NA
Fachhochschule Wiener Neustadt GmbH,NA,NA
Fachhochschule St. Pölten GmbH,NA,NA
IMC Krems University of Applied Sciences,NA,NA
FH OÖ Studienbetriebs GmbH,NA,NA
Universität Graz,NA,NA
"Anton-Bruckner-Privatuniversität, Katholische Privat-Universität Linz, Kunstuniversität Linz, Universität Linz",NA,NA
"Universität für Musik und darstellende Kunst Graz, Universität Graz",NA,NA
Medizinische Universität Graz,NA,NA
Medizinische Universität Innsbruck,NA,NA
Wirtschaftsuniversität Wien,NA,NA
Fachhochschule für angewandte Militärwissenschaften,NA,NA
"Universität Wien, Verbundregion Nordost",NA,NA
"Universität Graz, Verbundregion Südost",NA,NA
"Universität Innsbruck, Verbundregion West",NA,NA
"Universität Salzburg, Verbundregion Mitte",NA,NA
VIVES University of Applied Sciences,NA,NA
University of Antwerp,NA,NA
KdG University of Applied Sciences and Arts,NA,NA
UCLL University of Applied Sciences,NA,NA
Thomas More University of Applied Sciences,NA,NA
AP University of Applied Sciences,NA,NA
Odisee University of Applied Sciences,NA,NA
Howest University of Applied Sciences,NA,NA
Artevelde University of Applied Sciences,NA,NA
PXL University of Applied Sciences and Arts,NA,NA
LUCA School of Arts,NA,NA
