"University","Title","Level","Link","Duration_years","ECTS","Language"
"Østfold University College,","Master in Green Energy Technology (120 ECTS)","Master","https://studyinnorway.no/study-opportunities/master-green-energy-technology-120-ects",2,120,"English"
"Kristiania University College, East Norway","Master in Human-Computer Interaction","Master","https://studyinnorway.no/study-opportunities/master-human-computer-interaction",2,120,"English"
"Kristiania University College, East Norway","Master in Information Systems - Business Analytics","Master","https://studyinnorway.no/study-opportunities/master-information-systems-business-analytics",2,120,"English"
"Kristiania University College, East Norway","Master in Information Systems - Digital Business Systems","Master","https://studyinnorway.no/study-opportunities/master-information-systems-digital-business-systems",2,120,"English"
"Kristiania University College, East Norway","Master in Information Systems - Digital Marketing","Master","https://studyinnorway.no/study-opportunities/master-information-systems-digital-marketing",2,120,"English"
"University of South-Eastern Norway,","Master in Innovation and Technology Management","Master","https://studyinnorway.no/study-opportunities/master-innovation-and-technology-management",2,120,"English"
"University of South-Eastern Norway,","Master in Innovation and Technology Management","Master","https://studyinnorway.no/study-opportunities/master-innovation-and-technology-management-0",2,120,"English"
"University of Agder, South Norway","Master in Management and Business Development","Master","https://studyinnorway.no/study-opportunities/master-management-and-business-development",2,120,"English"
"Volda University College, West Norway","Master in Media Practices","Master","https://studyinnorway.no/study-opportunities/master-media-practices",2,120,"English"
"MF Norwegian School of Theology, Religion and Society,","Master in Religion in Contemporary Society","Master","https://studyinnorway.no/study-opportunities/master-religion-contemporary-society",2,120,"English"
"University of Inland Norway, East Norway","Master in special education - Sustainability, inclusion and participation","Master","https://studyinnorway.no/study-opportunities/master-special-education-sustainability-inclusion-and-participation",2,120,"English"
"MF Norwegian School of Theology, Religion and Society,","Master in the Study of Religion","Master","https://studyinnorway.no/study-opportunities/master-study-religion",2,120,"English"
"NLA University College, West Norway","MASTER IN THEOLOGY AND MINISTRY","Master","https://studyinnorway.no/study-opportunities/master-theology-and-ministry",2,120,"English"
"BI Norwegian Business School, East Norway","Master of Business - Major in Accounting and Business Control","Master","https://studyinnorway.no/study-opportunities/master-business-major-accounting-and-business-control",2,120,"English"
"BI Norwegian Business School, East Norway","Master of Business - Major in Economics","Master","https://studyinnorway.no/study-opportunities/master-business-major-economics",2,120,"English"
"BI Norwegian Business School, East Norway, West Norway","Master of Business - Major in Finance","Master","https://studyinnorway.no/study-opportunities/master-business-major-finance",2,120,"English"
"BI Norwegian Business School, East Norway","Master of Business - Major in Leadership and change","Master","https://studyinnorway.no/study-opportunities/master-business-major-leadership-and-change",2,120,"English"
"BI Norwegian Business School, East Norway","Master of Business - Major in Logistics and Supply Chain Management","Master","https://studyinnorway.no/study-opportunities/master-business-major-logistics-and-supply-chain-management",2,120,"English"
"BI Norwegian Business School, East Norway","Master of Business - Major in Marketing","Master","https://studyinnorway.no/study-opportunities/master-business-major-marketing",2,120,"English"
"BI Norwegian Business School, East Norway","Master of Business - Major in Strategy","Master","https://studyinnorway.no/study-opportunities/master-business-major-strategy",2,120,"English"
"Oslo School of Architecture and Design, East Norway","Master of design","Master","https://studyinnorway.no/study-opportunities/master-design",2,120,"English"
"Oslo School of Architecture and Design, East Norway","Master of Landscape Architecture","Master","https://studyinnorway.no/study-opportunities/master-landscape-architecture",2,120,"English"
"Norwegian Academy of Music, East Norway","Master of Music in Composition","Master","https://studyinnorway.no/study-opportunities/master-music-composition",2,120,"English"
"UiT The Arctic University of Norway,","Master of Philosophy in Visual and Multimodal Anthropology","Master","https://studyinnorway.no/study-opportunities/master-philosophy-visual-and-multimodal-anthropology",2,120,"English"
"University of South-Eastern Norway,","Master of Science – Electrical Power Engineering","Master","https://studyinnorway.no/study-opportunities/master-science-electrical-power-engineering",2,120,"English"
"University of South-Eastern Norway,","Master of Science – IT and Automation","Master","https://studyinnorway.no/study-opportunities/master-science-it-and-automation",2,120,"English"
"University of South-Eastern Norway,","Master of Science – Process, Energy and Environmental Technology","Master","https://studyinnorway.no/study-opportunities/master-science-process-energy-and-environmental-technology",2,120,"English"
"University of South-Eastern Norway,","Master of Science – Sensor Systems and Innovation","Master","https://studyinnorway.no/study-opportunities/master-science-sensor-systems-and-innovation",2,120,"English"
"University of South-Eastern Norway,","Master of Science – Sensor Systems and Innovation","Master","https://studyinnorway.no/study-opportunities/master-science-sensor-systems-and-innovation-0",2,120,"English"
"University of Inland Norway, East Norway","Master of science in business administration - major Business Analytics","Master","https://studyinnorway.no/study-opportunities/master-science-business-administration-major-business-analytics",2,120,"English"
"University of South-Eastern Norway,","Master of Science in Computer Science","Master","https://studyinnorway.no/study-opportunities/master-science-computer-science",2,120,"English"
"University of South-Eastern Norway,","Master of Science in Ecology and Environmental Management","Master","https://studyinnorway.no/study-opportunities/master-science-ecology-and-environmental-management",2,120,"English"
"Molde University College – Specialized University in Logistics (HiMolde), West Norway","Master of Science in Economics and Business Administration","Master","https://studyinnorway.no/study-opportunities/master-science-economics-and-business-administration",2,120,"English"
"Molde University College – Specialized University in Logistics (HiMolde), West Norway","Master of Science in Logistics","Master","https://studyinnorway.no/study-opportunities/master-science-logistics",2,120,"English"
"Molde University College – Specialized University in Logistics (HiMolde), West Norway","Master of Science in Sport Management","Master","https://studyinnorway.no/study-opportunities/master-science-sport-management",2,120,"English"
"Molde University College – Specialized University in Logistics (HiMolde), West Norway","Master of Science in Sustainable Energy Logistics","Master","https://studyinnorway.no/study-opportunities/master-science-sustainable-energy-logistics",2,120,"English"
"Molde University College – Specialized University in Logistics (HiMolde), West Norway","Master of Science in Sustainable Transport and Urban Mobility","Master","https://studyinnorway.no/study-opportunities/master-science-sustainable-transport-and-urban-mobility",2,120,"English"
"University of South-Eastern Norway,","Master of Sustainability Management","Master","https://studyinnorway.no/study-opportunities/master-sustainability-management",2,120,"English"
"VID Specialized University, West Norway","Master of theology and religious studies","Master","https://studyinnorway.no/study-opportunities/master-theology-and-religious-studies",2,120,"English"
"University of Stavanger, West Norway","Master’s Degree Programme in Performing Arts","Master","https://studyinnorway.no/study-opportunities/masters-degree-programme-performing-arts",2,120,"English"
"University of Bergen, West Norway","Master's Programme in Biomedical Sciences","Master","https://studyinnorway.no/study-opportunities/masters-programme-biomedical-sciences",2,120,"English"
"University of Agder, South Norway","Master's Programme in Business Administration","Master","https://studyinnorway.no/study-opportunities/masters-programme-business-administration",2,120,"English"
"University of Agder, South Norway","Master's Programme in Business Administration","Master","https://studyinnorway.no/study-opportunities/masters-programme-business-administration-0",2,120,"English"
"University of Agder, South Norway","Master's Programme in Classical Music Performance","Master","https://studyinnorway.no/study-opportunities/masters-programme-classical-music-performance",2,120,"English"
"University of Agder, South Norway","Master's Programme in Coastal Ecology","Master","https://studyinnorway.no/study-opportunities/masters-programme-coastal-ecology",2,120,"English"
"University of Bergen, West Norway","Master's Programme in Curatorial Practice","Master","https://studyinnorway.no/study-opportunities/masters-programme-curatorial-practice",NA,90,"English"
"University of Bergen, West Norway","Master's Programme in Design","Master","https://studyinnorway.no/study-opportunities/masters-programme-design",2,120,"English"
"University of Bergen, West Norway","Master's Programme in Digital Culture","Master","https://studyinnorway.no/study-opportunities/masters-programme-digital-culture",2,120,"English"
"University of Bergen, West Norway","Master's Programme in Energy and Process Technology","Master","https://studyinnorway.no/study-opportunities/masters-programme-energy-and-process-technology",2,120,"English"
"University of Agder, South Norway","Master's Programme in English","Master","https://studyinnorway.no/study-opportunities/masters-programme-english",2,120,"English"
"University of Bergen, West Norway","Master's Programme in Fine Art","Master","https://studyinnorway.no/study-opportunities/masters-programme-fine-art",2,120,"English"
"University of Bergen, West Norway","Master's Programme in French","Master","https://studyinnorway.no/study-opportunities/masters-programme-french",2,120,"English"
"University of Bergen, West Norway","Master's Programme in Geographies of Sustainable Development","Master","https://studyinnorway.no/study-opportunities/masters-programme-geographies-sustainable-development",2,120,"English"
"University of Bergen, West Norway","Master's Programme in German","Master","https://studyinnorway.no/study-opportunities/masters-programme-german",2,120,"English"
"University of Bergen, West Norway","Master's Programme in Global development Theory and Practice","Master","https://studyinnorway.no/study-opportunities/masters-programme-global-development-theory-and-practice",2,120,"English"
"University of Agder, South Norway","Master's Programme in Global Development, Crisis and Change","Master","https://studyinnorway.no/study-opportunities/masters-programme-global-development-crisis-and-change-0",2,120,"English"
"University of Bergen, West Norway","Master's Programme in Global Health","Master","https://studyinnorway.no/study-opportunities/masters-programme-global-health",2,120,"English"
"University of Bergen, West Norway","Master's Programme in Linguistics","Master","https://studyinnorway.no/study-opportunities/masters-programme-linguistics",2,120,"English"
"University of Agder, South Norway","Master's Programme in Mechatronics","Master","https://studyinnorway.no/study-opportunities/masters-programme-mechatronics",2,120,"English"
"University of Bergen, West Norway","Master's Programme in Media and Interaction Design","Master","https://studyinnorway.no/study-opportunities/masters-programme-media-and-interaction-design",2,120,"English"
"University of Bergen, West Norway","Master's Programme in Music Performance or Composition","Master","https://studyinnorway.no/study-opportunities/masters-programme-music-performance-or-composition",2,120,"English"
"University of Agder, South Norway","Master's Programme in Nordic Languages and Literature for Non-Norwegian Students","Master","https://studyinnorway.no/study-opportunities/masters-programme-nordic-languages-and-literature-non-norwegian-students",2,120,"English"
"University of Bergen, West Norway","Master's Programme in Old Norse Studies","Master","https://studyinnorway.no/study-opportunities/masters-programme-old-norse-studies",2,120,"English"
"University of Bergen, West Norway","Master's Programme in Philosophy","Master","https://studyinnorway.no/study-opportunities/masters-programme-philosophy",2,120,"English"
"University of Bergen, West Norway","Master's Programme in Physical Geography","Master","https://studyinnorway.no/study-opportunities/masters-programme-physical-geography",2,120,"English"
"University of Bergen, West Norway","Master’s programme in Politics and Governance of Global Challenges","Master","https://studyinnorway.no/study-opportunities/masters-programme-politics-and-governance-global-challenges",2,120,"English"
"University of Agder, South Norway","Master's Programme in Popular Music","Master","https://studyinnorway.no/study-opportunities/masters-programme-popular-music",2,120,"English"
"University of Bergen, West Norway","Master's Programme in Religious Minorities","Master","https://studyinnorway.no/study-opportunities/masters-programme-religious-minorities",15,90,"English"
"University of Bergen, West Norway","Master's Programme in Reservoir and Geoenergy","Master","https://studyinnorway.no/study-opportunities/masters-programme-reservoir-and-geoenergy",2,120,"English"
"University of Bergen, West Norway","Master's Programme in Spanish and Latin-American Studies","Master","https://studyinnorway.no/study-opportunities/masters-programme-spanish-and-latin-american-studies",2,120,"English"
"University of Bergen, West Norway","Master's Programme in Sustainability","Master","https://studyinnorway.no/study-opportunities/masters-programme-sustainability",2,120,"English"
"University of Bergen, West Norway","Master's Programme in System Dynamics","Master","https://studyinnorway.no/study-opportunities/masters-programme-system-dynamics",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Materials Science and Engineering - Master's Programme","Master","https://studyinnorway.no/study-opportunities/materials-science-and-engineering-masters-programme",2,120,"English"
"University of Oslo, East Norway","Materials Science for Energy and Nanotechnology","Master","https://studyinnorway.no/study-opportunities/materials-science-energy-and-nanotechnology",2,120,"English"
"UiT The Arctic University of Norway,","Mathematical Sciences - master","Master","https://studyinnorway.no/study-opportunities/mathematical-sciences-master",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Mathematical Sciences - Master's Programme","Master","https://studyinnorway.no/study-opportunities/mathematical-sciences-masters-programme",2,120,"English"
"University of Oslo, East Norway","Mathematics","Master","https://studyinnorway.no/study-opportunities/mathematics",2,120,"English"
"University of Stavanger, West Norway","Mathematics and Physics - Master of Science Degree Programme","Master","https://studyinnorway.no/study-opportunities/mathematics-and-physics-master-science-degree-programme",2,120,"English"
"University of Agder, South Norway","Mathematics, Master's Programme","Master","https://studyinnorway.no/study-opportunities/mathematics-masters-programme",2,120,"English"
"OsloMet – Oslo Metropolitan University, East Norway","Mechanical Engineering","Master","https://studyinnorway.no/study-opportunities/mechanical-engineering",2,120,"English"
"Norwegian University of Science and Technology, West Norway","Mechatronics and Automation - Master's Programme","Master","https://studyinnorway.no/study-opportunities/mechatronics-and-automation-masters-programme",2,120,"English"
"University of Oslo, East Norway","Modern International and Transnational History","Master","https://studyinnorway.no/study-opportunities/modern-international-and-transnational-history",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Molecular Medicine - Master's Programme","Master","https://studyinnorway.no/study-opportunities/molecular-medicine-masters-programme",2,120,"English"
"UiT The Arctic University of Norway,","Molecular Sciences - master","Master","https://studyinnorway.no/study-opportunities/molecular-sciences-master",2,120,"English"
"University of South-Eastern Norway,","MSc in Digital Transformation","Master","https://studyinnorway.no/study-opportunities/msc-digital-transformation",2,120,"English"
"University of South-Eastern Norway,","MSc in Digital Transformation","Master","https://studyinnorway.no/study-opportunities/msc-digital-transformation-0",2,120,"English"
"University of South-Eastern Norway,","MSc in Human Rights and Multiculturalism","Master","https://studyinnorway.no/study-opportunities/msc-human-rights-and-multiculturalism",2,120,"English"
"Nord University, North Norway","MSc in Sustainable Leadership and Arctic Perspectives","Master","https://studyinnorway.no/study-opportunities/msc-sustainable-leadership-and-arctic-perspectives",2,120,"English"
"University of Oslo, East Norway","Multilingualism","Master","https://studyinnorway.no/study-opportunities/multilingualism",2,120,"English"
"University of Agder, South Norway","Multimedia and Game Technologies, Master's Programme","Master","https://studyinnorway.no/study-opportunities/multimedia-and-game-technologies-masters-programme",2,120,"English"
"Kristiania University College, East Norway","Music Business Management","One-year programme","https://studyinnorway.no/study-opportunities/music-business-management",1,120,"English"
"UiT The Arctic University of Norway,","Music performance - master","Master","https://studyinnorway.no/study-opportunities/music-performance-master",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Music Performance - Master’s programme","Master","https://studyinnorway.no/study-opportunities/music-performance-masters-programme",2,120,"English"
"University of Stavanger, West Norway","Music Production and Recording - Graduate studies","","https://studyinnorway.no/study-opportunities/music-production-and-recording-graduate-studies",NA,60,"English"
"University of Oslo, East Norway","Music, Communication and Technology","Master","https://studyinnorway.no/study-opportunities/music-communication-and-technology",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Natural Resources Management - Master's Programme","Master","https://studyinnorway.no/study-opportunities/natural-resources-management-masters-programme",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Neuroscience - Master's Programme","Master","https://studyinnorway.no/study-opportunities/neuroscience-masters-programme",2,120,"English"
"Norwegian University of Life Sciences,","Nordic Master in Aquatic Food Production - Safety and Quality","Master","https://studyinnorway.no/study-opportunities/nordic-master-aquatic-food-production-safety-and-quality",2,120,"English"
"OsloMet – Oslo Metropolitan University, East Norway","Nordic Social Policy and Global Sustainable Development","Master","https://studyinnorway.no/study-opportunities/nordic-social-policy-and-global-sustainable-development",2,120,"English"
"University of Oslo, East Norway","North Sea Energy Law","Master","https://studyinnorway.no/study-opportunities/north-sea-energy-law",NA,90,"English"
"University of South-Eastern Norway,","Norwegian Folk Music / Norwegian Folk Art for International Students","One-year programme","https://studyinnorway.no/study-opportunities/norwegian-folk-music-norwegian-folk-art-international-students",1,60,"English"
"Volda University College, West Norway","Norwegian language and civilization for international students (NIS)","One-year programme","https://studyinnorway.no/study-opportunities/norwegian-language-and-civilization-international-students-nis",1,60,"English"
"UiT The Arctic University of Norway, North Norway","Norwegian Language and Society for Foreign Students - one year programme","One-year programme","https://studyinnorway.no/study-opportunities/norwegian-language-and-society-foreign-students-one-year-programme",1,60,"English"
"Norwegian University of Life Sciences, East Norway","Nuclear and Environmental Sciences","Master","https://studyinnorway.no/study-opportunities/nuclear-and-environmental-sciences",2,120,"English"
"University of Oslo, East Norway","Nuclear Science","Master","https://studyinnorway.no/study-opportunities/nuclear-science-1",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Ocean Resources - Master's Programme","Master","https://studyinnorway.no/study-opportunities/ocean-resources-masters-programme",2,120,"English"
"Norwegian School of Sport Sciences,","Organization and Leadership in Sport","One-year programme","https://studyinnorway.no/study-opportunities/organization-and-leadership-sport",1,60,"English"
"University of Oslo, East Norway","Peace and Conflict Studies","Master","https://studyinnorway.no/study-opportunities/peace-and-conflict-studies",2,120,"English"
"UiT The Arctic University of Norway,","Peace and Conflict Transformation - master","Master","https://studyinnorway.no/study-opportunities/peace-and-conflict-transformation-master",2,120,"English"
"University of Stavanger, West Norway","Petroleum Engineering - Master of Science Degree Programme","Master","https://studyinnorway.no/study-opportunities/petroleum-engineering-master-science-degree-programme",2,120,"English"
"University of Oslo, East Norway","Philosophy","Master","https://studyinnorway.no/study-opportunities/philosophy",2,120,"English"
"Norwegian University of Life Sciences, East Norway","Photonics","Master","https://studyinnorway.no/study-opportunities/photonics",2,120,"English"
"University of South-Eastern Norway,","Physical Education, Sport and Outdoor Learning","One-year programme","https://studyinnorway.no/study-opportunities/physical-education-sport-and-outdoor-learning",1,60,"English"
"University of Oslo, East Norway","Physics","Master","https://studyinnorway.no/study-opportunities/physics",2,120,"English"
"UiT The Arctic University of Norway,","Physics - master","Master","https://studyinnorway.no/study-opportunities/physics-master",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Physics - Master's Programme","Master","https://studyinnorway.no/study-opportunities/physics-masters-programme",2,120,"English"
"Norwegian University of Life Sciences, East Norway","Plant Sciences","Master","https://studyinnorway.no/study-opportunities/plant-sciences",2,120,"English"
"University of Stavanger, West Norway","Postgraduate Diploma in Music Performance","","https://studyinnorway.no/study-opportunities/postgraduate-diploma-music-performance",NA,60,"English"
"OsloMet – Oslo Metropolitan University,","Product Design - Design in Complexity","Master","https://studyinnorway.no/study-opportunities/product-design-design-complexity-0",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Project Management - Master's Programme","Master","https://studyinnorway.no/study-opportunities/project-management-masters-programme",2,120,"English"
"University of Oslo, East Norway","Psychology","Master","https://studyinnorway.no/study-opportunities/psychology",2,120,"English"
"UiT The Arctic University of Norway,","Psychology - master","Master","https://studyinnorway.no/study-opportunities/psychology-master",2,120,"English"
"UiT The Arctic University of Norway,","Public Health - master","Master","https://studyinnorway.no/study-opportunities/public-health-master",2,120,"English"
"OsloMet – Oslo Metropolitan University, East Norway","Public Health Nutrition","Master","https://studyinnorway.no/study-opportunities/public-health-nutrition",2,120,"English"
"University of Oslo, East Norway","Public International Law","Master","https://studyinnorway.no/study-opportunities/public-international-law",1,90,"English"
"BI Norwegian Business School, East Norway","Quantitative Finance","Master","https://studyinnorway.no/study-opportunities/quantitative-finance",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Reliability, Availability, Maintainability and Safety (RAMS) - Master's Programme","Master","https://studyinnorway.no/study-opportunities/reliability-availability-maintainability-and-safety-rams-masters-programme",2,120,"English"
"University of Oslo, East Norway","Religious Roots of Europe","Master","https://studyinnorway.no/study-opportunities/religious-roots-europe",2,120,"English"
"University of Oslo, East Norway","Renewable Energy Systems","Master","https://studyinnorway.no/study-opportunities/renewable-energy-systems",2,120,"English"
"University of Oslo, East Norway","Research in Special Needs Education","Master","https://studyinnorway.no/study-opportunities/research-special-needs-education",2,120,"English"
"University of Stavanger, West Norway","Risk Analysis - Master of Science Degree Programme","Master","https://studyinnorway.no/study-opportunities/risk-analysis-master-science-degree-programme",2,120,"English"
"University of South-Eastern Norway,","Scandinavian Studies – Autumn semester","","https://studyinnorway.no/study-opportunities/scandinavian-studies-autumn-semester",NA,30,"English"
"University of South-Eastern Norway,","Scandinavian Studies – Full year","One-year programme","https://studyinnorway.no/study-opportunities/scandinavian-studies-full-year",1,60,"English"
"University of South-Eastern Norway,","Scandinavian Studies – Spring semester","","https://studyinnorway.no/study-opportunities/scandinavian-studies-spring-semester",NA,30,"English"
"University of Oslo, East Norway","Screen Cultures","Master","https://studyinnorway.no/study-opportunities/screen-cultures",2,120,"English"
"University of Stavanger, West Norway","Service Leadership in International Business - Master's Programme","Master","https://studyinnorway.no/study-opportunities/service-leadership-international-business-masters-programme",2,120,"English"
"University of Oslo, East Norway","Social Anthropology","Master","https://studyinnorway.no/study-opportunities/social-anthropology-0",2,120,"English"
"University of Oslo, East Norway","Space Systems","Master","https://studyinnorway.no/study-opportunities/space-systems",2,120,"English"
"Norwegian School of Sport Sciences,","Sport, Culture and Development Cooperation","One-year programme","https://studyinnorway.no/study-opportunities/sport-culture-and-development-cooperation",1,60,"English"
"Nord University, Mid Norway","Sports and Physical Education, one year","One-year programme","https://studyinnorway.no/study-opportunities/sports-and-physical-education-one-year",1,60,"English"
"University of Oslo, East Norway","Stochastic Modelling, Statistics and Risk Analysis","Master","https://studyinnorway.no/study-opportunities/stochastic-modelling-statistics-and-risk-analysis",2,120,"English"
"BI Norwegian Business School,","Strategic Marketing Management","Master","https://studyinnorway.no/study-opportunities/strategic-marketing-management",2,120,"English"
"NHH Norwegian School of Economics,","Strategy and Management","Master","https://studyinnorway.no/study-opportunities/strategy-and-management",2,120,"English"
"University of Stavanger, West Norway","Structural and Mechanical Engineering - Master of Science Degree Programme","Master","https://studyinnorway.no/study-opportunities/structural-and-mechanical-engineering-master-science-degree-programme",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Subsea Technology - Master's Programme","Master","https://studyinnorway.no/study-opportunities/subsea-technology-masters-programme",2,120,"English"
"University of Stavanger, West Norway","Sustainability Studies - Master's Degree Programme","Master","https://studyinnorway.no/study-opportunities/sustainability-studies-masters-degree-programme",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Sustainable Architecture - Master's Programme","Master","https://studyinnorway.no/study-opportunities/sustainable-architecture-masters-programme",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Sustainable Chemical and Biochemical Engineering - Master's Programme","Master","https://studyinnorway.no/study-opportunities/sustainable-chemical-and-biochemical-engineering-masters-programme",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Sustainable Energy - Master's Programme","Master","https://studyinnorway.no/study-opportunities/sustainable-energy-masters-programme",2,120,"English"
"Western Norway University of Applied Sciences, West Norway","Sustainable Energy Technology","Master","https://studyinnorway.no/study-opportunities/sustainable-energy-technology",2,120,"English"
"BI Norwegian Business School, East Norway","Sustainable Finance","Master","https://studyinnorway.no/study-opportunities/sustainable-finance",2,120,"English"
"Nord University, North Norway","Sustainable Production and Utilisation of Marine Bioresources, Nordic Master","Master","https://studyinnorway.no/study-opportunities/sustainable-production-and-utilisation-marine-bioresources-nordic-master",2,120,"English"
"University of South-Eastern Norway,","Systems Engineering   (Industry Master)","Master","https://studyinnorway.no/study-opportunities/systems-engineering-industry-master",2,120,"English"
"UiT The Arctic University of Norway,","Technology and Safety in the High North - master","Master","https://studyinnorway.no/study-opportunities/technology-and-safety-high-north-master",2,120,"English"
"University of Oslo, East Norway","The Psychology of Global Mobility, Inclusion and Diversity in Society","Master","https://studyinnorway.no/study-opportunities/psychology-global-mobility-inclusion-and-diversity-society",2,120,"English"
"University of Oslo, East Norway","The Theory and Practice of Human Rights","Master","https://studyinnorway.no/study-opportunities/theory-and-practice-human-rights",2,120,"English"
"UiT The Arctic University of Norway,","Theoretical Linguistics - master","Master","https://studyinnorway.no/study-opportunities/theoretical-linguistics-master",2,120,"English"
"OsloMet – Oslo Metropolitan University, East Norway","Transport and Urban Analytics","Master","https://studyinnorway.no/study-opportunities/transport-and-urban-analytics",2,120,"English"
"Norwegian University of Life Sciences, East Norway","Urban Agriculture","Master","https://studyinnorway.no/study-opportunities/urban-agriculture",2,120,"English"
"University of Oslo, East Norway","Viking and Medieval Norse Studies","Master","https://studyinnorway.no/study-opportunities/viking-and-medieval-norse-studies",2,120,"English"
"University of Oslo, East Norway","Viking and Medieval Studies","Master","https://studyinnorway.no/study-opportunities/viking-and-medieval-studies",2,120,"English"
