"University","Title","Level","Link","Duration_years","ECTS","Language"
"Norwegian University of Science and Technology, Mid Norway","Chemistry - Master's Programme","Master","https://studyinnorway.no/study-opportunities/chemistry-masters-programme",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Childhood Studies - Master's Programme","Master","https://studyinnorway.no/study-opportunities/childhood-studies-masters-programme",2,120,"English"
"Nord University, North Norway","Circumpolar Studies, one year program","One-year programme","https://studyinnorway.no/study-opportunities/circumpolar-studies-one-year-program",1,60,"English"
"University of Stavanger, West Norway","City and Regional Planning - Master of Science","Master","https://studyinnorway.no/study-opportunities/city-and-regional-planning-master-science",2,120,"English"
"OsloMet – Oslo Metropolitan University, East Norway","Civil Engineering","Master","https://studyinnorway.no/study-opportunities/civil-engineering",2,120,"English"
"University of Oslo, East Norway","Classical Studies","Master","https://studyinnorway.no/study-opportunities/classical-studies",2,120,"English"
"Western Norway University of Applied Sciences, West Norway","Climate Change Management","Master","https://studyinnorway.no/study-opportunities/climate-change-management-0",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Coastal and Marine Engineering and Management (CoMEM+) - Master's Programme","Master","https://studyinnorway.no/study-opportunities/coastal-and-marine-engineering-and-management-comem-masters-programme",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Cold Climate Engineering - Nordic Master's Programme","Master","https://studyinnorway.no/study-opportunities/cold-climate-engineering-nordic-masters-programme",2,120,"English"
"VID Specialized University, East Norway, West Norway","Community Development and Social Innovation - Master","Master","https://studyinnorway.no/study-opportunities/community-development-and-social-innovation-master",2,120,"English"
"University of Stavanger, West Norway","Computational Engineering - Master of Science Degree Programme","Master","https://studyinnorway.no/study-opportunities/computational-engineering-master-science-degree-programme",2,120,"English"
"University of Oslo, East Norway","Computational Science","Master","https://studyinnorway.no/study-opportunities/computational-science",2,120,"English"
"UiT The Arctic University of Norway,","Computer Science - master","Master","https://studyinnorway.no/study-opportunities/computer-science-master",2,120,"English"
"UiT The Arctic University of Norway, North Norway","Computer Science - master","Master","https://studyinnorway.no/study-opportunities/computer-science-master-0",2,120,"English"
"University of Stavanger, West Norway","Computer Science - Master of Science Degree Programme","Master","https://studyinnorway.no/study-opportunities/computer-science-master-science-degree-programme",2,120,"English"
"University of Stavanger, West Norway","ConductIT","","https://studyinnorway.no/study-opportunities/conductit",NA,30,"English"
"UiT The Arctic University of Norway,","Contemporary Issues in Risk and Crisis Management - master","Master","https://studyinnorway.no/study-opportunities/contemporary-issues-risk-and-crisis-management-master",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Coordinated Humanitarian Response, Health and Displacement – Master's Programme","Master","https://studyinnorway.no/study-opportunities/coordinated-humanitarian-response-health-and-displacement-masters-programme",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Creative Music Technology - Master’s programme","Master","https://studyinnorway.no/study-opportunities/creative-music-technology-masters-programme",2,120,"English"
"University of Agder, South Norway","Cybersecurity management, Master’s Programme","Master","https://studyinnorway.no/study-opportunities/cybersecurity-management-masters-programme",2,120,"English"
"University of Oslo, East Norway","Data Science","Master","https://studyinnorway.no/study-opportunities/data-science-0",2,120,"English"
"Norwegian University of Life Sciences,","Data Science","Master","https://studyinnorway.no/study-opportunities/data-science",2,120,"English"
"University of Stavanger, West Norway","Data Science - Master of Science Degree Programme","Master","https://studyinnorway.no/study-opportunities/data-science-master-science-degree-programme",2,120,"English"
"BI Norwegian Business School, East Norway","Data Science for Business","Bachelor","https://studyinnorway.no/study-opportunities/data-science-business",3,180,"English"
"BI Norwegian Business School, East Norway","Data Science for Business","Master","https://studyinnorway.no/study-opportunities/data-science-business-0",2,120,"English"
"University of Oslo, East Norway","Development, Environment and Cultural Change","Master","https://studyinnorway.no/study-opportunities/development-environment-and-cultural-change",2,120,"English"
"BI Norwegian Business School, East Norway","Digital Business","Bachelor","https://studyinnorway.no/study-opportunities/digital-business",3,180,"English"
"BI Norwegian Business School, East Norway","Digital Communication Management","Master","https://studyinnorway.no/study-opportunities/digital-communication-management",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Digital Infrastructure and Cyber Security - Master's Programme","Master","https://studyinnorway.no/study-opportunities/digital-infrastructure-and-cyber-security-masters-programme",2,120,"English"
"University of Oslo, East Norway","Digitalization in the Health Sector","Master","https://studyinnorway.no/study-opportunities/digitalization-health-sector",2,120,"English"
"Norwegian University of Life Sciences, East Norway","Ecology","Master","https://studyinnorway.no/study-opportunities/ecology",2,120,"English"
"NHH Norwegian School of Economics, West Norway","Economic Analysis","Master","https://studyinnorway.no/study-opportunities/economic-analysis",2,120,"English"
"NHH Norwegian School of Economics, West Norway","Economics","Master","https://studyinnorway.no/study-opportunities/economics",2,120,"English"
"University of Oslo, East Norway","Economics","Master","https://studyinnorway.no/study-opportunities/economics-0",2,120,"English"
"Norwegian University of Life Sciences, East Norway","Economics and Environmental Governance","Master","https://studyinnorway.no/study-opportunities/economics-and-environmental-governance",2,120,"English"
