"Label","DKK","EUR","NOK","PLN","RSD","SEK","TRY","USD","Country"
"Meal for 2 People, Mid-range Restaurant, Three-course",314.11,42.1,483.33,180,4937,465.71,1918.48,36.52,"Poland"
"Meal for 2 People, Mid-range Restaurant, Three-course",700,93.83,1077.11,401.13,11002.23,1037.84,4275.39,81.39,"Denmark"
"Meal for 2 People, Mid-range Restaurant, Three-course",539.58,72.33,830.27,309.21,8480.88,800,3295.61,62.74,"Sweden"
"Meal for 2 People, Mid-range Restaurant, Three-course",649.89,87.11,1000,372.42,10214.62,963.54,3969.33,75.56,"Norway"
"Meal for 2 People, Mid-range Restaurant, Three-course",245.59,32.92,377.9,140.74,3860.08,364.12,1500,28.55,"Turkey"
"Meal for 2 People, Mid-range Restaurant, Three-course",318.12,42.64,489.49,182.3,5000,471.65,1942.96,36.99,"Serbia"
"Meal, Inexpensive Restaurant",89.52,12,137.75,51.3,1407.08,132.73,546.78,10.41,"Croatia"
"Meal, Inexpensive Restaurant",89.52,12,137.75,51.3,1407.08,132.73,546.78,10.41,"Lithuania"
"Meal, Inexpensive Restaurant",89.52,12,137.75,51.3,1407.08,132.73,546.78,10.41,"Slovenia"
"Meal, Inexpensive Restaurant",98.85,13.25,152.1,56.65,1553.65,146.56,603.74,11.49,"Estonia"
"Meal, Inexpensive Restaurant",104.44,14,160.71,59.85,1641.6,154.85,637.91,12.14,"Spain"
"Meal, Inexpensive Restaurant",111.9,15,172.19,64.13,1758.85,165.91,683.48,13.01,"Austria"
"Meal, Inexpensive Restaurant",111.9,15,172.19,64.13,1758.85,165.91,683.48,13.01,"Cyprus"
"Meal, Inexpensive Restaurant",111.9,15,172.19,64.13,1758.85,165.91,683.48,13.01,"Germany"
"Meal, Inexpensive Restaurant",149.21,20,229.59,85.5,2345.14,221.22,911.3,17.35,"Belgium"
"Meal, Inexpensive Restaurant",149.21,20,229.59,85.5,2345.14,221.22,911.3,17.35,"Luxembourg"
"Meal, Inexpensive Restaurant",69.8,9.36,107.41,40,1097.11,103.49,426.33,8.12,"Poland"
"Meal, Inexpensive Restaurant",94.43,12.66,145.3,54.11,1484.15,140,576.73,10.98,"Sweden"
"Meal, Inexpensive Restaurant",150,20.11,230.81,85.96,2357.62,222.39,916.15,17.44,"Denmark"
"Meal, Inexpensive Restaurant",158.24,21.21,243.48,90.68,2487.06,234.6,966.45,18.4,"Norway"
"Meal, Inexpensive Restaurant",57.3,7.68,88.18,32.84,900.69,84.96,350,6.66,"Turkey"
"Meal, Inexpensive Restaurant",63.62,8.53,97.9,36.46,1000,94.33,388.59,7.4,"Serbia"
"Milk (regular), (1 liter)",7.76,1.04,11.94,4.45,121.95,11.5,47.39,0.9,"Estonia"
"Milk (regular), (1 liter)",7.76,1.04,11.94,4.45,121.95,11.5,47.39,0.9,"Spain"
"Milk (regular), (1 liter)",8.28,1.11,12.74,4.75,130.16,12.28,50.58,0.96,"Croatia"
"Milk (regular), (1 liter)",8.28,1.11,12.74,4.75,130.16,12.28,50.58,0.96,"Germany"
"Milk (regular), (1 liter)",8.36,1.12,12.86,4.79,131.33,12.39,51.03,0.97,"Belgium"
"Milk (regular), (1 liter)",9.47,1.27,14.58,5.43,148.92,14.05,57.87,1.1,"Slovenia"
"Milk (regular), (1 liter)",9.62,1.29,14.81,5.51,151.26,14.27,58.78,1.12,"Lithuania"
"Milk (regular), (1 liter)",10.67,1.43,16.42,6.11,167.68,15.82,65.16,1.24,"Luxembourg"
"Milk (regular), (1 liter)",10.89,1.46,16.76,6.24,171.2,16.15,66.53,1.27,"Austria"
"Milk (regular), (1 liter)",12.09,1.62,18.6,6.93,189.96,17.92,73.82,1.41,"Cyprus"
"Milk (regular), (1 liter)",6.84,0.92,10.53,3.92,107.52,10.14,41.78,0.8,"Poland"
"Milk (regular), (1 liter)",13.73,1.84,21.13,7.87,215.8,20.36,83.86,1.6,"Denmark"
"Milk (regular), (1 liter)",10.78,1.45,16.6,6.18,169.51,15.99,65.87,1.25,"Sweden"
"Milk (regular), (1 liter)",14.9,2,22.93,8.54,234.22,22.09,91.02,1.73,"Norway"
"Milk (regular), (1 liter)",6.48,0.87,9.98,3.72,101.91,9.61,39.6,0.75,"Turkey"
"Milk (regular), (1 liter)",9.35,1.25,14.39,5.36,147.02,13.87,57.13,1.09,"Serbia"
"Mobile Phone Monthly Plan with Calls and 10GB+ Data",98.03,13.14,150.84,56.18,1540.76,145.34,598.73,11.4,"Lithuania"
"Mobile Phone Monthly Plan with Calls and 10GB+ Data",103.7,13.9,159.56,59.42,1629.87,153.75,633.36,12.06,"Slovenia"
"Mobile Phone Monthly Plan with Calls and 10GB+ Data",130.56,17.5,200.89,74.81,2052,193.56,797.39,15.18,"Spain"
"Mobile Phone Monthly Plan with Calls and 10GB+ Data",132.87,17.81,204.45,76.14,2088.35,196.99,811.52,15.45,"Austria"
"Mobile Phone Monthly Plan with Calls and 10GB+ Data",133.17,17.85,204.91,76.31,2093.04,197.44,813.34,15.48,"Estonia"
"Mobile Phone Monthly Plan with Calls and 10GB+ Data",142.19,19.06,218.8,81.48,2234.92,210.82,868.47,16.53,"Croatia"
"Mobile Phone Monthly Plan with Calls and 10GB+ Data",151.52,20.31,233.15,86.83,2381.49,224.65,925.43,17.62,"Cyprus"
"Mobile Phone Monthly Plan with Calls and 10GB+ Data",151.97,20.37,233.83,87.08,2388.52,225.31,928.16,17.67,"Belgium"
"Mobile Phone Monthly Plan with Calls and 10GB+ Data",177.26,23.76,272.75,101.58,2786.03,262.81,1082.63,20.61,"Germany"
"Mobile Phone Monthly Plan with Calls and 10GB+ Data",183.45,24.59,282.28,105.13,2883.35,271.99,1120.45,21.33,"Luxembourg"
"Mobile Phone Monthly Plan with Calls and 10GB+ Data",63.19,8.47,97.23,36.21,993.16,93.68,385.93,7.35,"Poland"
"Mobile Phone Monthly Plan with Calls and 10GB+ Data",127.55,17.1,196.26,73.09,2004.76,189.11,779.04,14.83,"Denmark"
"Mobile Phone Monthly Plan with Calls and 10GB+ Data",185.16,24.82,284.91,106.1,2910.21,274.52,1130.89,21.53,"Sweden"
"Mobile Phone Monthly Plan with Calls and 10GB+ Data",254.82,34.16,392.1,146.03,4005.15,377.81,1556.37,29.63,"Norway"
"Mobile Phone Monthly Plan with Calls and 10GB+ Data",69.87,9.37,107.52,40.04,1098.24,103.6,426.77,8.12,"Turkey"
"Mobile Phone Monthly Plan with Calls and 10GB+ Data",128.76,17.26,198.13,73.79,2023.78,190.9,786.43,14.97,"Serbia"
"Monthly Pass (Regular Price)",0,0,0,0,0,0,0,0,"Luxembourg"
"Monthly Pass (Regular Price)",216.35,29,332.9,123.98,3400.45,320.76,1321.39,25.15,"Lithuania"
"Monthly Pass (Regular Price)",223.81,30,344.38,128.25,3517.71,331.82,1366.96,26.02,"Estonia"
"Monthly Pass (Regular Price)",223.81,30,344.38,128.25,3517.71,331.82,1366.96,26.02,"Spain"
"Monthly Pass (Regular Price)",276.03,37,424.74,158.18,4338.51,409.25,1685.91,32.09,"Slovenia"
"Monthly Pass (Regular Price)",350.63,47,539.53,200.93,5511.08,519.86,2141.56,40.77,"Croatia"
"Monthly Pass (Regular Price)",365.55,49,562.49,209.48,5745.59,541.98,2232.7,42.5,"Belgium"
"Monthly Pass (Regular Price)",373.01,50,573.97,213.76,5862.85,553.04,2278.26,43.37,"Cyprus"
"Monthly Pass (Regular Price)",380.47,51,585.45,218.03,5980.11,564.1,2323.83,44.24,"Austria"
"Monthly Pass (Regular Price)",432.7,58,665.8,247.96,6800.9,641.53,2642.78,50.31,"Germany"
"Monthly Pass (Regular Price)",207.66,27.84,319.53,119,3263.91,307.88,1268.33,24.14,"Poland"
"Monthly Pass (Regular Price)",600,80.43,923.23,343.83,9430.49,889.58,3664.62,69.76,"Denmark"
"Monthly Pass (Regular Price)",505.61,67.77,778,289.74,7946.97,749.64,3088.14,58.79,"Norway"
"Monthly Pass (Regular Price)",580.05,77.75,892.54,332.4,9116.95,860,3542.78,67.44,"Sweden"
"Monthly Pass (Regular Price)",294.71,39.5,453.48,168.88,4632.1,436.95,1800,34.27,"Turkey"
"Monthly Pass (Regular Price)",127.25,17.06,195.8,72.92,2000,188.66,777.19,14.79,"Serbia"
"One-way Ticket (Local Transport)",0,0,0,0,0,0,0,0,"Luxembourg"
"One-way Ticket (Local Transport)",7.46,1,11.48,4.28,117.26,11.06,45.57,0.87,"Lithuania"
"One-way Ticket (Local Transport)",9.7,1.3,14.92,5.56,152.43,14.38,59.23,1.13,"Croatia"
"One-way Ticket (Local Transport)",9.7,1.3,14.92,5.56,152.43,14.38,59.23,1.13,"Slovenia"
"One-way Ticket (Local Transport)",11.19,1.5,17.22,6.41,175.89,16.59,68.35,1.3,"Spain"
"One-way Ticket (Local Transport)",14.92,2,22.96,8.55,234.51,22.12,91.13,1.73,"Cyprus"
"One-way Ticket (Local Transport)",14.92,2,22.96,8.55,234.51,22.12,91.13,1.73,"Estonia"
"One-way Ticket (Local Transport)",18.65,2.5,28.7,10.69,293.14,27.65,113.91,2.17,"Austria"
"One-way Ticket (Local Transport)",18.65,2.5,28.7,10.69,293.14,27.65,113.91,2.17,"Belgium"
"One-way Ticket (Local Transport)",23.87,3.2,36.73,13.68,375.22,35.39,145.81,2.78,"Germany"
"One-way Ticket (Local Transport)",7.33,0.98,11.28,4.2,115.2,10.87,44.76,0.85,"Poland"
"One-way Ticket (Local Transport)",24,3.22,36.93,13.75,377.22,35.58,146.58,2.79,"Denmark"
"One-way Ticket (Local Transport)",4.42,0.59,6.8,2.53,69.48,6.55,27,0.51,"Turkey"
"One-way Ticket (Local Transport)",24.28,3.25,37.36,13.91,381.64,36,148.3,2.82,"Sweden"
"One-way Ticket (Local Transport)",27.95,3.75,43,16.01,439.23,41.43,170.68,3.25,"Norway"
"One-way Ticket (Local Transport)",5.09,0.68,7.83,2.92,80,7.55,31.09,0.59,"Serbia"
"Onion (1kg)",6.19,0.83,9.53,3.55,97.32,9.18,37.82,0.72,"Estonia"
"Onion (1kg)",6.57,0.88,10.1,3.76,103.19,9.73,40.1,0.76,"Lithuania"
"Onion (1kg)",8.65,1.16,13.32,4.96,136.02,12.83,52.86,1.01,"Croatia"
"Onion (1kg)",10.22,1.37,15.73,5.86,160.64,15.15,62.42,1.19,"Cyprus"
"Onion (1kg)",10.37,1.39,15.96,5.94,162.99,15.37,63.34,1.21,"Germany"
"Onion (1kg)",10.74,1.44,16.53,6.16,168.85,15.93,65.61,1.25,"Slovenia"
"Onion (1kg)",12.09,1.62,18.6,6.93,189.96,17.92,73.82,1.41,"Belgium"
"Onion (1kg)",12.46,1.67,19.17,7.14,195.82,18.47,76.09,1.45,"Spain"
"Onion (1kg)",13.13,1.76,20.2,7.52,206.37,19.47,80.19,1.53,"Austria"
"Onion (1kg)",16.86,2.26,25.94,9.66,265,25,102.98,1.96,"Luxembourg"
"Onion (1kg)",7.29,0.98,11.22,4.18,114.65,10.81,44.55,0.85,"Poland"
"Onion (1kg)",12.85,1.72,19.77,7.36,201.97,19.05,78.48,1.49,"Denmark"
"Onion (1kg)",11.37,1.52,17.5,6.52,178.73,16.86,69.45,1.32,"Sweden"
"Onion (1kg)",3.87,0.52,5.96,2.22,60.89,5.74,23.66,0.45,"Turkey"
"Onion (1kg)",17.33,2.32,26.66,9.93,272.32,25.69,105.82,2.01,"Norway"
"Onion (1kg)",5.6,0.75,8.61,3.21,87.98,8.3,34.19,0.65,"Serbia"
"Potato (1kg)",5.74,0.77,8.84,3.29,90.29,8.52,35.09,0.67,"Lithuania"
"Potato (1kg)",7.83,1.05,12.05,4.49,123.12,11.61,47.84,0.91,"Estonia"
"Potato (1kg)",8.43,1.13,12.97,4.83,132.5,12.5,51.49,0.98,"Slovenia"
"Potato (1kg)",8.58,1.15,13.2,4.92,134.85,12.72,52.4,1,"Croatia"
"Potato (1kg)",10.15,1.36,15.61,5.81,159.47,15.04,61.97,1.18,"Germany"
"Potato (1kg)",10.74,1.44,16.53,6.16,168.85,15.93,65.61,1.25,"Cyprus"
"Potato (1kg)",11.64,1.56,17.91,6.67,182.92,17.25,71.08,1.35,"Spain"
"Potato (1kg)",14.03,1.88,21.58,8.04,220.44,20.79,85.66,1.63,"Austria"
"Potato (1kg)",14.85,1.99,22.84,8.51,233.34,22.01,90.67,1.73,"Belgium"
"Potato (1kg)",17.68,2.37,27.21,10.13,277.9,26.21,107.99,2.06,"Luxembourg"
"Potato (1kg)",6.09,0.82,9.37,3.49,95.72,9.03,37.2,0.71,"Poland"
"Potato (1kg)",14.31,1.92,22.02,8.2,224.92,21.22,87.4,1.66,"Denmark"
"Potato (1kg)",11.45,1.53,17.61,6.56,179.9,16.97,69.91,1.33,"Sweden"
"Potato (1kg)",15.54,2.08,23.91,8.9,244.23,23.04,94.91,1.81,"Norway"
"Potato (1kg)",4.79,0.64,7.38,2.75,75.35,7.11,29.28,0.56,"Turkey"
"Potato (1kg)",6.63,0.89,10.2,3.8,104.16,9.83,40.48,0.77,"Serbia"
"Rice (white), (1kg)",10.59,1.42,16.3,6.07,166.5,15.71,64.7,1.23,"Spain"
"Rice (white), (1kg)",15.52,2.08,23.88,8.89,243.89,23.01,94.78,1.8,"Belgium"
"Rice (white), (1kg)",16.49,2.21,25.37,9.45,259.14,24.44,100.7,1.92,"Lithuania"
"Rice (white), (1kg)",17.16,2.3,26.4,9.83,269.69,25.44,104.8,2,"Estonia"
"Rice (white), (1kg)",17.23,2.31,26.52,9.88,270.86,25.55,105.26,2,"Austria"
"Rice (white), (1kg)",18.05,2.42,27.78,10.35,283.76,26.77,110.27,2.1,"Slovenia"
"Rice (white), (1kg)",18.73,2.51,28.81,10.73,294.31,27.76,114.37,2.18,"Cyprus"
"Rice (white), (1kg)",19.4,2.6,29.85,11.12,304.87,28.76,118.47,2.26,"Croatia"
"Rice (white), (1kg)",20.07,2.69,30.88,11.5,315.42,29.75,122.57,2.33,"Luxembourg"
"Rice (white), (1kg)",21.86,2.93,33.63,12.53,343.56,32.41,133.51,2.54,"Germany"
"Rice (white), (1kg)",9.75,1.31,15.01,5.59,153.32,14.46,59.58,1.13,"Poland"
"Rice (white), (1kg)",15.88,2.13,24.43,9.1,249.59,23.54,96.99,1.85,"Denmark"
"Rice (white), (1kg)",21.61,2.9,33.25,12.38,339.64,32.04,131.98,2.51,"Norway"
"Rice (white), (1kg)",23.98,3.21,36.91,13.74,376.98,35.56,146.49,2.79,"Sweden"
"Rice (white), (1kg)",14.16,1.9,21.78,8.11,222.52,20.99,86.47,1.65,"Turkey"
"Rice (white), (1kg)",17.06,2.29,26.25,9.78,268.18,25.3,104.21,1.98,"Serbia"
"Water (1.5 liter bottle)",4.92,0.66,7.58,2.82,77.39,7.3,30.07,0.57,"Spain"
"Water (1.5 liter bottle)",5.6,0.75,8.61,3.21,87.94,8.3,34.17,0.65,"Austria"
"Water (1.5 liter bottle)",5.82,0.78,8.95,3.33,91.46,8.63,35.54,0.68,"Slovenia"
"Water (1.5 liter bottle)",5.89,0.79,9.07,3.38,92.63,8.74,36,0.69,"Lithuania"
"Water (1.5 liter bottle)",5.97,0.8,9.18,3.42,93.81,8.85,36.45,0.69,"Luxembourg"
"Water (1.5 liter bottle)",6.71,0.9,10.33,3.85,105.53,9.95,41.01,0.78,"Belgium"
"Water (1.5 liter bottle)",6.94,0.93,10.68,3.98,109.05,10.29,42.38,0.81,"Cyprus"
"Water (1.5 liter bottle)",7.01,0.94,10.79,4.02,110.22,10.4,42.83,0.82,"Germany"
"Water (1.5 liter bottle)",7.09,0.95,10.91,4.06,111.39,10.51,43.29,0.82,"Estonia"
"Water (1.5 liter bottle)",7.76,1.04,11.94,4.45,121.95,11.5,47.39,0.9,"Croatia"
"Water (1.5 liter bottle)",4.26,0.57,6.55,2.44,66.92,6.31,26.01,0.5,"Poland"
"Water (1.5 liter bottle)",9.35,1.25,14.39,5.36,146.96,13.86,57.11,1.09,"Denmark"
"Water (1.5 liter bottle)",9.54,1.28,14.68,5.47,149.9,14.14,58.25,1.11,"Sweden"
"Water (1.5 liter bottle)",3.18,0.43,4.9,1.82,50,4.72,19.43,0.37,"Turkey"
"Water (1.5 liter bottle)",14.39,1.93,22.14,8.25,226.15,21.33,87.88,1.67,"Norway"
"Water (1.5 liter bottle)",4.54,0.61,6.98,2.6,71.33,6.73,27.72,0.53,"Serbia"
